[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM12] cyl=2 seq=31 ev=SKIP      val_us=15072 refBig_us=88112
[COM12] cyl=2 seq=32 ev=SKIP      val_us=9824 refBig_us=86736
[COM11] cyl=1 seq=43 ev=FIRED     val_us=163136 refBig_us=89280 period_us=158240 rpm=379 resid_us=5040 edgeToSpark_us=142848
[COM11] cyl=1 seq=44 ev=SKIP      val_us=36464 refBig_us=87888
[COM11] cyl=1 seq=45 ev=SKIP      val_us=23168 refBig_us=86528
[COM12] cyl=2 seq=33 ev=FIRED     val_us=169568 refBig_us=92256 period_us=74192 rpm=808 resid_us=22592 edgeToSpark_us=71824
[COM11] cyl=1 seq=46 ev=SKIP      val_us=10016 refBig_us=85184
[COM12] cyl=2 seq=34 ev=FIRED     val_us=86944 refBig_us=90816 period_us=74576 rpm=804 resid_us=12752 edgeToSpark_us=73648
[COM11] cyl=1 seq=47 ev=FIRED     val_us=164704 refBig_us=90640 period_us=158432 rpm=378 resid_us=6464 edgeToSpark_us=143024
[COM11] cyl=1 seq=48 ev=EARLY     val_us=60576 refBig_us=89232
[COM12] cyl=2 seq=35 ev=FIRED     val_us=104096 refBig_us=92928 period_us=75488 rpm=794 resid_us=29520 edgeToSpark_us=88192
[COM11] cyl=1 seq=49 ev=SKIP      val_us=13200 refBig_us=87840
[COM12] cyl=2 seq=36 ev=FIRED     val_us=91520 refBig_us=91488 period_us=75984 rpm=789 resid_us=16032 edgeToSpark_us=77536
[COM11] cyl=1 seq=50 ev=FIRED     val_us=164144 refBig_us=90368 period_us=158608 rpm=378 resid_us=5712 edgeToSpark_us=143184
[COM11] cyl=1 seq=51 ev=SKIP      val_us=35744 refBig_us=88960
[COM11] cyl=1 seq=52 ev=SKIP      val_us=23152 refBig_us=87584
[COM12] cyl=2 seq=37 ev=FIRED     val_us=106544 refBig_us=92512 period_us=76928 rpm=779 resid_us=30560 edgeToSpark_us=90256
[COM12] cyl=2 seq=38 ev=SKIP      val_us=4528 refBig_us=91072
[COM11] cyl=1 seq=53 ev=SKIP      val_us=11744 refBig_us=86224
[COM12] cyl=2 seq=39 ev=SKIP      val_us=48304 refBig_us=89664
[COM12] cyl=2 seq=40 ev=SKIP      val_us=16144 refBig_us=88272
[COM11] cyl=1 seq=54 ev=FIRED     val_us=163728 refBig_us=88080 period_us=158768 rpm=377 resid_us=5120 edgeToSpark_us=143328
[COM11] cyl=1 seq=55 ev=EARLY     val_us=65008 refBig_us=86704
[COM12] cyl=2 seq=41 ev=FIRED     val_us=189840 refBig_us=94112 period_us=78048 rpm=768 resid_us=35984 edgeToSpark_us=80400
[COM11] cyl=1 seq=56 ev=SKIP      val_us=10240 refBig_us=85360
[COM12] cyl=2 seq=42 ev=SKIP      val_us=52912 refBig_us=92656
[COM12] cyl=2 seq=43 ev=SKIP      val_us=9296 refBig_us=91216
[COM11] cyl=1 seq=57 ev=FIRED     val_us=164784 refBig_us=89536 period_us=158944 rpm=377 resid_us=6016 edgeToSpark_us=143488
[COM11] cyl=1 seq=58 ev=EARLY     val_us=63872 refBig_us=88144
[COM12] cyl=2 seq=44 ev=FIRED     val_us=187152 refBig_us=93456 period_us=79008 rpm=759 resid_us=31056 edgeToSpark_us=79264
[COM11] cyl=1 seq=59 ev=SKIP      val_us=10960 refBig_us=86768
[COM12] cyl=2 seq=45 ev=FIRED     val_us=95648 refBig_us=92000 period_us=79520 rpm=754 resid_us=16640 edgeToSpark_us=81024
[COM11] cyl=1 seq=60 ev=FIRED     val_us=166768 refBig_us=91936 period_us=159184 rpm=376 resid_us=7824 edgeToSpark_us=143696
[COM11] cyl=1 seq=61 ev=SKIP      val_us=35184 refBig_us=90512
[COM11] cyl=1 seq=62 ev=SKIP      val_us=22864 refBig_us=89104
