one_cyl_ignition LANDMARK experiment build
one_cyl_ignition LANDMARK experiment build
WATCHDOG: STALL gap_us=3000012
seq=96 ev=SKIP      val_us=22528 refBig_us=101328
seq=97 ev=SKIP      val_us=11664 refBig_us=99760
seq=98 ev=FIRED     val_us=160528 refBig_us=98208 period_us=160528 rpm=373 edgeToSpark_us=140448
seq=99 ev=SKIP      val_us=34384 refBig_us=96688
seq=100 ev=SKIP      val_us=17440 refBig_us=95184
seq=101 ev=SKIP      val_us=5536 refBig_us=93712
seq=102 ev=SKIP      val_us=10704 refBig_us=92256
seq=103 ev=FIRED     val_us=154560 refBig_us=90816 period_us=154560 rpm=388 edgeToSpark_us=135232
seq=104 ev=SKIP      val_us=3184 refBig_us=89408
seq=105 ev=SKIP      val_us=33680 refBig_us=88016
seq=106 ev=SKIP      val_us=19664 refBig_us=86656
seq=107 ev=SKIP      val_us=13376 refBig_us=85312
seq=108 ev=FIRED     val_us=156160 refBig_us=86256 period_us=156160 rpm=384 edgeToSpark_us=136640
seq=109 ev=SKIP      val_us=38528 refBig_us=84912
seq=110 ev=SKIP      val_us=17536 refBig_us=83600
seq=111 ev=SKIP      val_us=15664 refBig_us=82304
seq=112 ev=FIRED     val_us=162288 refBig_us=90560 period_us=162288 rpm=369 edgeToSpark_us=142000
seq=113 ev=SKIP      val_us=34336 refBig_us=89152
seq=114 ev=SKIP      val_us=22544 refBig_us=87760
seq=115 ev=SKIP      val_us=10304 refBig_us=86400
seq=116 ev=FIRED     val_us=157760 refBig_us=90576 period_us=157760 rpm=380 edgeToSpark_us=138032
seq=117 ev=RATEJUMP  val_us=55136 refBig_us=89168
seq=118 ev=SKIP      val_us=12272 refBig_us=87776
seq=119 ev=SYNCCAND  val_us=102032 refBig_us=89760
seq=120 ev=SKIP      val_us=34608 refBig_us=88368
seq=121 ev=SKIP      val_us=22576 refBig_us=86992
seq=122 ev=SKIP      val_us=11104 refBig_us=85648
seq=123 ev=SYNCCAND  val_us=157920 refBig_us=89632
seq=124 ev=SKIP      val_us=35728 refBig_us=88240
seq=125 ev=SKIP      val_us=21968 refBig_us=86864
seq=126 ev=SKIP      val_us=10304 refBig_us=85520
seq=127 ev=SYNCFIRST val_us=156624 refBig_us=88624
seq=128 ev=SKIP      val_us=36064 refBig_us=87248
seq=129 ev=SKIP      val_us=19824 refBig_us=85888
seq=130 ev=SKIP      val_us=13024 refBig_us=84560
seq=131 ev=FIRED     val_us=157936 refBig_us=89024 period_us=157936 rpm=379 edgeToSpark_us=138192
seq=132 ev=SKIP      val_us=36032 refBig_us=87648
seq=133 ev=SKIP      val_us=23056 refBig_us=86288
seq=134 ev=SKIP      val_us=10128 refBig_us=84944
seq=135 ev=FIRED     val_us=192784 refBig_us=123568 period_us=192784 rpm=311 edgeToSpark_us=168672
seq=136 ev=SKIP      val_us=18768 refBig_us=121648
seq=137 ev=SKIP      val_us=13920 refBig_us=119760
seq=138 ev=FIRED     val_us=123488 refBig_us=117904 period_us=123488 rpm=485 edgeToSpark_us=108048
seq=139 ev=SKIP      val_us=53024 refBig_us=116064
seq=140 ev=SKIP      val_us=13856 refBig_us=114256
seq=141 ev=FIRED     val_us=158992 refBig_us=112480 period_us=158992 rpm=377 edgeToSpark_us=139104
seq=142 ev=SKIP      val_us=32032 refBig_us=110736
seq=143 ev=SKIP      val_us=17040 refBig_us=109008
seq=144 ev=SKIP      val_us=16848 refBig_us=107312
