#Firmware: Speeduino 2025.01.6
ToothTime,Time
uS,uS
52596.000,2796389376
54184.000,2796443648
48484.000,2796492032
52724.000,2796544768
56556.000,2796601344
52728.000,2796654080
52864.000,2796706816
59960.000,2796766720
48800.000,2796815616
53012.000,2796868608
56120.000,2796924672
53044.000,2796977664
53180.000,2797030912
52352.000,2797083136
53184.000,2797136384
53304.000,2797189632
50900.000,2797240576
53276.000,2797293824
53416.000,2797347328
58952.000,2797406208
53412.000,2797459712
53544.000,2797513216
53752.000,2797566976
53524.000,2797620480
53656.000,2797674240
49836.000,2797724160
53588.000,2797777664
53728.000,2797831424
58872.000,2797890304
53704.000,2797944064
53832.000,2797997824
55120.000,2798052864
49668.000,2798102528
53892.000,2798156544
51464.000,2798208000
53784.000,2798261760
53924.000,2798315776
61692.000,2798377472
49744.000,2798427136
53984.000,2798481152
58888.000,2798540032
49816.000,2798589952
54032.000,2798643968
57464.000,2798701312
49852.000,2798751232
54084.000,2798805248
57716.000,2798862848
49880.000,2798912768
54112.000,2798966784
51904.000,2799018752
49760.000,2799068416
54076.000,2799122432
56612.000,2799179008
49696.000,2799228672
54020.000,2799282688
63776.000,2799346432
49784.000,2799396096
54028.000,2799450112
50884.000,2799501056
53868.000,2799554816
54000.000,2799608832
55012.000,2799663872
53848.000,2799717632
53984.000,2799771648
54112.000,2799825664
53844.000,2799879424
53972.000,2799933440
57548.000,2799991040
49640.000,2800040704
53952.000,2800094720
59464.000,2800154112
49892.000,2800204032
53952.000,2800258048
55040.000,2800313088
53820.000,2800366848
53956.000,2800420864
57432.000,2800478208
49824.000,2800528128
53952.000,2800582144
51532.000,2800633600
53804.000,2800687360
53924.000,2800741376
55604.000,2800796928
53788.000,2800850688
53924.000,2800904704
52488.000,2800957184
53764.000,2801010944
53892.000,2801064960
61608.000,2801126656
49688.000,2801176320
53908.000,2801230336
60052.000,2801290496
49716.000,2801340160
53944.000,2801394176
56936.000,2801451008
53856.000,2801504768
54000.000,2801558784
62072.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
0.000,2801620736
MARK 000
54088.000,2801674752
56188.000,2801730816
54060.000,2801784832
54200.000,2801839104
53264.000,2801892352
50000.000,2801942272
54228.000,2801996544
56296.000,2802052864
54148.000,2802107136
54272.000,2802161408
57880.000,2802219264
50080.000,2802269440
54312.000,2802323712
61868.000,2802385664
50148.000,2802435840
54376.000,2802490112
53640.000,2802543872
54296.000,2802598144
54420.000,2802652672
55592.000,2802708224
54332.000,2802762496
54480.000,2802817024
56000.000,2802873088
50256.000,2802923264
54484.000,2802977792
55660.000,2803033344
54392.000,2803087616
54512.000,2803142144
50592.000,2803192832
54364.000,2803247104
54496.000,2803301632
60032.000,2803361792
50256.000,2803411968
54488.000,2803466496
57508.000,2803524096
50168.000,2803574272
54464.000,2803628800
61240.000,2803689984
50244.000,2803740160
54492.000,2803794688
53476.000,2803848192
50124.000,2803898368
54440.000,2803952896
60972.000,2804013824
50108.000,2804064000
54424.000,2804118528
54164.000,2804172800
54260.000,2804227072
54404.000,2804281600
55096.000,2804336640
54260.000,2804390912
54384.000,2804445184
63048.000,2804508160
50364.000,2804558592
54424.000,2804613120
53112.000,2804666112
54312.000,2804720384
54444.000,2804774912
60720.000,2804835584
50336.000,2804886016
54480.000,2804940544
55504.000,2804996096
50416.000,2805046528
54484.000,2805101056
58420.000,2805159424
54384.000,2805213696
54528.000,2805268224
54292.000,2805322496
50368.000,2805372928
54500.000,2805427456
61924.000,2805489408
54444.000,2805543936
54560.000,2805598464
106196.000,2805704704
55036.000,2805759744
55168.000,2805814784
57868.000,2805872640
55136.000,2805927680
40776.000,2805968384
50516.000,2806018816
54928.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
0.000,2806073856
MARK 001
MARK 002
MARK 003
