=== CAPTURE OPEN - crank now ===
WATCHDOG: STALL gap_us=3000012
seq=84 ev=FIRED     val_us=154208 refBig_us=139584 period_us=163360 rpm=367 resid_us=-9456 edgeToSpark_us=147472
seq=85 ev=SKIP      val_us=11600 refBig_us=137408
seq=86 ev=FIRED     val_us=143296 refBig_us=139968 period_us=162720 rpm=368 resid_us=-20064 edgeToSpark_us=146896
seq=87 ev=SKIP      val_us=10080 refBig_us=137792
seq=88 ev=FIRED     val_us=112160 refBig_us=135648 period_us=161136 rpm=372 resid_us=-50560 edgeToSpark_us=145456
seq=89 ev=SKIP      val_us=19936 refBig_us=133536
seq=90 ev=SKIP      val_us=13008 refBig_us=131456
seq=91 ev=FIRED     val_us=107152 refBig_us=129408 period_us=159440 rpm=376 resid_us=-53984 edgeToSpark_us=143936
seq=92 ev=SKIP      val_us=21664 refBig_us=127392
seq=93 ev=SKIP      val_us=10912 refBig_us=125408
seq=94 ev=FIRED     val_us=104320 refBig_us=123456 period_us=157712 rpm=380 resid_us=-55120 edgeToSpark_us=142368
seq=95 ev=SKIP      val_us=18672 refBig_us=121536
seq=96 ev=SKIP      val_us=12176 refBig_us=119648
seq=97 ev=EARLY     val_us=69520 refBig_us=117792
seq=98 ev=SKIP      val_us=32880 refBig_us=115952
seq=99 ev=SKIP      val_us=21712 refBig_us=114144
seq=100 ev=SKIP      val_us=11808 refBig_us=112368
seq=101 ev=FIRED     val_us=271648 refBig_us=135728 period_us=156336 rpm=383 resid_us=-43776 edgeToSpark_us=141136
seq=102 ev=SKIP      val_us=16224 refBig_us=133616
seq=103 ev=FIRED     val_us=96160 refBig_us=131536 period_us=154448 rpm=388 resid_us=-60176 edgeToSpark_us=139424
seq=104 ev=SKIP      val_us=21264 refBig_us=129488
seq=105 ev=SKIP      val_us=8976 refBig_us=127472
seq=106 ev=FIRED     val_us=98240 refBig_us=125488 period_us=152688 rpm=392 resid_us=-56208 edgeToSpark_us=137840
seq=107 ev=SKIP      val_us=21488 refBig_us=123536
seq=108 ev=SKIP      val_us=10176 refBig_us=121616
seq=109 ev=FIRED     val_us=101904 refBig_us=119728 period_us=151088 rpm=397 resid_us=-50784 edgeToSpark_us=136384
seq=110 ev=SKIP      val_us=21248 refBig_us=117872
seq=111 ev=SKIP      val_us=11392 refBig_us=116032
seq=112 ev=FIRED     val_us=105840 refBig_us=117632 period_us=149664 rpm=400 resid_us=-45248 edgeToSpark_us=135104
seq=113 ev=SKIP      val_us=19104 refBig_us=115808
seq=114 ev=SKIP      val_us=12384 refBig_us=114000
seq=115 ev=FIRED     val_us=111344 refBig_us=119440 period_us=148464 rpm=404 resid_us=-38320 edgeToSpark_us=134016
seq=116 ev=SKIP      val_us=20528 refBig_us=117584
seq=117 ev=SKIP      val_us=11648 refBig_us=115760
seq=118 ev=FIRED     val_us=118960 refBig_us=120304 period_us=147536 rpm=406 resid_us=-29504 edgeToSpark_us=133184
seq=119 ev=SKIP      val_us=17088 refBig_us=118432
seq=120 ev=SKIP      val_us=13888 refBig_us=116592
seq=121 ev=FIRED     val_us=125840 refBig_us=120672 period_us=146848 rpm=408 resid_us=-21696 edgeToSpark_us=132560
seq=122 ev=SKIP      val_us=18848 refBig_us=118800
seq=123 ev=SKIP      val_us=13024 refBig_us=116944
seq=124 ev=FIRED     val_us=134336 refBig_us=121440 period_us=146448 rpm=409 resid_us=-12512 edgeToSpark_us=132208
seq=125 ev=SKIP      val_us=20576 refBig_us=119552
seq=126 ev=SKIP      val_us=9888 refBig_us=117696
seq=127 ev=FIRED     val_us=106592 refBig_us=115872 period_us=145200 rpm=413 resid_us=-39856 edgeToSpark_us=131072
seq=128 ev=SKIP      val_us=33744 refBig_us=114064
seq=129 ev=SKIP      val_us=21392 refBig_us=112288
seq=130 ev=SKIP      val_us=10144 refBig_us=110544
seq=131 ev=FIRED     val_us=171136 refBig_us=138176 period_us=146000 rpm=410 resid_us=25936 edgeToSpark_us=144976
seq=132 ev=SKIP      val_us=11120 refBig_us=136032
seq=133 ev=FIRED     val_us=120160 refBig_us=133920 period_us=145184 rpm=413 resid_us=-25840 edgeToSpark_us=131056
seq=134 ev=SKIP      val_us=34160 refBig_us=131840
seq=135 ev=SKIP      val_us=16512 refBig_us=129792
seq=136 ev=SKIP      val_us=16368 refBig_us=127776
seq=137 ev=FIRED     val_us=164944 refBig_us=125792 period_us=145792 rpm=411 resid_us=19760 edgeToSpark_us=139744
seq=138 ev=SKIP      val_us=20736 refBig_us=123840
seq=139 ev=SKIP      val_us=10208 refBig_us=121920
seq=140 ev=FIRED     val_us=168464 refBig_us=120016 period_us=146496 rpm=409 resid_us=22672 edgeToSpark_us=142720
seq=141 ev=SKIP      val_us=19200 refBig_us=118144
seq=142 ev=SKIP      val_us=13424 refBig_us=116304
seq=143 ev=FIRED     val_us=174464 refBig_us=122000 period_us=147360 rpm=407 resid_us=27968 edgeToSpark_us=147808
seq=144 ev=SKIP      val_us=21904 refBig_us=120096
seq=145 ev=SKIP      val_us=10064 refBig_us=118224
seq=146 ev=FIRED     val_us=198736 refBig_us=142288 period_us=148960 rpm=402 resid_us=51376 edgeToSpark_us=168368
seq=147 ev=SKIP      val_us=9648 refBig_us=140080
seq=148 ev=FIRED     val_us=196976 refBig_us=142368 period_us=150448 rpm=398 resid_us=48016 edgeToSpark_us=166880
seq=149 ev=SKIP      val_us=12160 refBig_us=140144
seq=150 ev=FIRED     val_us=174000 refBig_us=137968 period_us=151184 rpm=396 resid_us=23552 edgeToSpark_us=147408
seq=151 ev=SKIP      val_us=22000 refBig_us=135824
seq=152 ev=SKIP      val_us=11216 refBig_us=133712
seq=153 ev=FIRED     val_us=174448 refBig_us=131632 period_us=151904 rpm=394 resid_us=23264 edgeToSpark_us=147792
seq=154 ev=SKIP      val_us=17088 refBig_us=129584
seq=155 ev=SKIP      val_us=13168 refBig_us=127568
seq=156 ev=FIRED     val_us=171248 refBig_us=125584 period_us=152496 rpm=393 resid_us=19344 edgeToSpark_us=145072
seq=157 ev=SKIP      val_us=20576 refBig_us=123632
seq=158 ev=SKIP      val_us=11856 refBig_us=121712
