PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
1.000,0.000,1.000,0.000,1.000,0.000,92020.906,53.512,92020.906
0.000,0.000,1.000,0.000,1.000,0.000,92021.398,0.488,92021.398
1.000,0.000,1.000,0.000,1.000,0.000,92074.891,53.496,92074.891
0.000,0.000,1.000,0.000,1.000,0.000,92075.383,0.488,92075.383
1.000,0.000,1.000,0.000,1.000,0.000,92129.133,53.756,92129.133
0.000,0.000,1.000,0.000,1.000,0.000,92129.617,0.484,92129.617
1.000,0.000,1.000,0.000,1.000,0.000,92182.938,53.320,92182.938
0.000,0.000,1.000,0.000,1.000,0.000,92183.430,0.488,92183.430
1.000,0.000,1.000,0.000,1.000,0.000,92236.969,53.540,92236.969
0.000,0.000,1.000,0.000,1.000,0.000,92237.453,0.488,92237.453
1.000,0.000,1.000,0.000,1.000,0.000,92292.406,54.948,92292.406
0.000,0.000,1.000,0.000,1.000,0.000,92292.875,0.472,92292.875
1.000,0.000,1.000,0.000,1.000,0.000,92345.109,52.232,92345.109
0.000,0.000,1.000,0.000,1.000,0.000,92345.586,0.480,92345.586
1.000,0.000,1.000,0.000,1.000,0.000,92399.195,53.608,92399.195
0.000,0.000,1.000,0.000,1.000,0.000,92399.680,0.484,92399.680
1.000,0.000,1.000,0.000,1.000,0.000,92453.305,53.624,92453.305
0.000,0.000,1.000,0.000,1.000,0.000,92453.773,0.472,92453.773
1.000,0.000,1.000,0.000,1.000,0.000,92507.375,53.596,92507.375
0.000,0.000,1.000,0.000,1.000,0.000,92507.859,0.484,92507.859
1.000,0.000,1.000,0.000,1.000,0.000,92561.445,53.592,92561.445
0.000,0.000,1.000,0.000,1.000,0.000,92561.930,0.480,92561.930
1.000,0.000,1.000,0.000,1.000,0.000,92615.531,53.604,92615.531
0.000,0.000,1.000,0.000,1.000,0.000,92616.016,0.480,92616.016
1.000,0.000,1.000,0.000,1.000,0.000,92669.609,53.600,92669.609
0.000,0.000,1.000,0.000,1.000,0.000,92670.094,0.484,92670.094
1.000,0.000,1.000,0.000,1.000,0.000,92723.711,53.612,92723.711
0.000,0.000,1.000,0.000,1.000,0.000,92724.188,0.480,92724.188
1.000,0.000,1.000,0.000,1.000,0.000,92777.805,53.616,92777.805
0.000,0.000,1.000,0.000,1.000,0.000,92778.281,0.480,92778.281
1.000,0.000,1.000,0.000,1.000,0.000,92831.891,53.604,92831.891
0.000,0.000,1.000,0.000,1.000,0.000,92832.359,0.472,92832.359
1.000,0.000,1.000,0.000,1.000,0.000,92885.961,53.604,92885.961
0.000,0.000,1.000,0.000,1.000,0.000,92886.445,0.484,92886.445
1.000,0.000,1.000,0.000,1.000,0.000,92940.063,53.616,92940.063
0.000,0.000,1.000,0.000,1.000,0.000,92940.547,0.480,92940.547
1.000,0.000,1.000,0.000,1.000,0.000,92994.148,53.608,92994.148
0.000,0.000,1.000,0.000,1.000,0.000,92994.633,0.480,92994.633
