one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=83 ev=SKIP      val_us=7504 refBig_us=116224
seq=84 ev=FIRED     val_us=114224 refBig_us=114416 period_us=135312 rpm=443 resid_us=-21776 edgeToSpark_us=118384
seq=85 ev=SKIP      val_us=39440 refBig_us=112640
seq=86 ev=SKIP      val_us=7376 refBig_us=110880
seq=87 ev=FIRED     val_us=149456 refBig_us=121680 period_us=135744 rpm=442 resid_us=14144 edgeToSpark_us=118768
seq=88 ev=SKIP      val_us=10608 refBig_us=119792
seq=89 ev=FIRED     val_us=107936 refBig_us=117936 period_us=134864 rpm=444 resid_us=-27808 edgeToSpark_us=118000
seq=90 ev=SKIP      val_us=39008 refBig_us=116096
seq=91 ev=SKIP      val_us=7728 refBig_us=114288
seq=92 ev=FIRED     val_us=133920 refBig_us=112512 period_us=134832 rpm=444 resid_us=-944 edgeToSpark_us=117968
seq=93 ev=SKIP      val_us=15088 refBig_us=110768
seq=94 ev=SKIP      val_us=7632 refBig_us=109040
seq=95 ev=FIRED     val_us=269376 refBig_us=136288 period_us=134816 rpm=445 resid_us=-288 edgeToSpark_us=117952
seq=96 ev=SKIP      val_us=73616 refBig_us=134160
seq=97 ev=SKIP      val_us=14192 refBig_us=132064
seq=98 ev=FIRED     val_us=175184 refBig_us=130016 period_us=136064 rpm=440 resid_us=40368 edgeToSpark_us=119056
seq=100 missed=1 ev=SKIP      val_us=3552 refBig_us=126000
seq=101 ev=SKIP      val_us=9840 refBig_us=124032
seq=102 ev=SKIP      val_us=2592 refBig_us=122096
seq=103 ev=SKIP      val_us=44912 refBig_us=120192
seq=104 ev=SKIP      val_us=9360 refBig_us=118320
seq=105 ev=FIRED     val_us=201568 refBig_us=116480 period_us=138096 rpm=434 resid_us=65504 edgeToSpark_us=120832
seq=106 ev=SKIP      val_us=44256 refBig_us=114672
seq=107 ev=SKIP      val_us=8032 refBig_us=112896
seq=108 ev=FIRED     val_us=198816 refBig_us=111136 period_us=139984 rpm=428 resid_us=60720 edgeToSpark_us=122480
seq=109 ev=SKIP      val_us=42080 refBig_us=109408
seq=110 ev=SKIP      val_us=8432 refBig_us=107712
seq=111 ev=FIRED     val_us=190720 refBig_us=106032 period_us=141568 rpm=423 resid_us=50736 edgeToSpark_us=123872
seq=112 ev=SKIP      val_us=41184 refBig_us=104384
seq=113 ev=SKIP      val_us=7184 refBig_us=102768
seq=114 ev=FIRED     val_us=218976 refBig_us=126208 period_us=139552 rpm=429 resid_us=-64160 edgeToSpark_us=122096
seq=115 ev=SKIP      val_us=7728 refBig_us=124240
seq=116 ev=EARLY     val_us=73984 refBig_us=122304
seq=117 ev=SKIP      val_us=10608 refBig_us=120400
seq=118 ev=FIRED     val_us=208192 refBig_us=123600 period_us=141696 rpm=423 resid_us=68640 edgeToSpark_us=123984
seq=119 ev=SKIP      val_us=7792 refBig_us=121680
seq=120 ev=FIRED     val_us=192864 refBig_us=125008 period_us=143280 rpm=418 resid_us=51168 edgeToSpark_us=125360
seq=121 ev=SKIP      val_us=7312 refBig_us=123056
seq=122 ev=FIRED     val_us=176656 refBig_us=124560 period_us=144320 rpm=415 resid_us=33376 edgeToSpark_us=126272
seq=123 ev=SKIP      val_us=7536 refBig_us=122624
seq=124 ev=FIRED     val_us=161536 refBig_us=124784 period_us=144848 rpm=414 resid_us=17216 edgeToSpark_us=126736
seq=125 ev=SKIP      val_us=7488 refBig_us=122848
seq=126 ev=FIRED     val_us=109472 refBig_us=120944 period_us=143728 rpm=417 resid_us=-35376 edgeToSpark_us=125760
seq=127 ev=SKIP      val_us=38672 refBig_us=119056
seq=128 ev=SKIP      val_us=8224 refBig_us=117200
seq=129 ev=FIRED     val_us=140656 refBig_us=124704 period_us=143632 rpm=417 resid_us=-3072 edgeToSpark_us=125664
seq=130 ev=SKIP      val_us=7344 refBig_us=122768
seq=131 ev=FIRED     val_us=125696 refBig_us=120864 period_us=143056 rpm=419 resid_us=-17936 edgeToSpark_us=125168
seq=132 ev=SKIP      val_us=10464 refBig_us=118976
seq=133 ev=FIRED     val_us=118640 refBig_us=123856 period_us=142288 rpm=421 resid_us=-24416 edgeToSpark_us=124496
seq=134 ev=SKIP      val_us=7456 refBig_us=121936
seq=135 ev=FIRED     val_us=110704 refBig_us=124608 period_us=141296 rpm=424 resid_us=-31584 edgeToSpark_us=123632
seq=136 ev=SKIP      val_us=7856 refBig_us=122672
seq=137 ev=FIRED     val_us=105392 refBig_us=125168 period_us=140160 rpm=428 resid_us=-35904 edgeToSpark_us=122640
seq=138 ev=SKIP      val_us=7520 refBig_us=123216
seq=139 ev=EARLY     val_us=61888 refBig_us=121296
seq=140 ev=SKIP      val_us=39760 refBig_us=119408
seq=141 ev=SKIP      val_us=7504 refBig_us=117552
seq=142 ev=FIRED     val_us=234032 refBig_us=124880 period_us=138704 rpm=432 resid_us=-46288 edgeToSpark_us=121360
seq=143 ev=SKIP      val_us=7840 refBig_us=122944
seq=144 ev=EARLY     val_us=52672 refBig_us=121024
seq=145 ev=SKIP      val_us=40176 refBig_us=119136
seq=146 ev=SKIP      val_us=7920 refBig_us=117280
seq=147 ev=FIRED     val_us=186448 refBig_us=115456 period_us=140192 rpm=427 resid_us=47744 edgeToSpark_us=122656
seq=148 ev=SKIP      val_us=38960 refBig_us=113664
seq=149 ev=SKIP      val_us=7552 refBig_us=111888
seq=150 ev=FIRED     val_us=213424 refBig_us=125136 period_us=138096 rpm=434 resid_us=-66960 edgeToSpark_us=120832
seq=151 ev=SKIP      val_us=7968 refBig_us=123184
seq=152 ev=EARLY     val_us=74704 refBig_us=125312
seq=153 ev=SKIP      val_us=7120 refBig_us=123360
seq=154 ev=FIRED     val_us=206896 refBig_us=125072 period_us=140240 rpm=427 resid_us=68800 edgeToSpark_us=122704
seq=155 ev=SKIP      val_us=7616 refBig_us=123120
seq=156 ev=FIRED     val_us=155312 refBig_us=121200 period_us=140704 rpm=426 resid_us=15072 edgeToSpark_us=123104
seq=157 ev=SKIP      val_us=35472 refBig_us=119312
seq=158 ev=SKIP      val_us=10128 refBig_us=117456
seq=159 ev=FIRED     val_us=183840 refBig_us=125040 period_us=142048 rpm=422 resid_us=43136 edgeToSpark_us=124288
seq=160 ev=SKIP      val_us=7456 refBig_us=123088
seq=161 ev=FIRED     val_us=138208 refBig_us=121168 period_us=141920 rpm=422 resid_us=-3840 edgeToSpark_us=124176
seq=162 ev=SKIP      val_us=2912 refBig_us=119280
seq=163 ev=SKIP      val_us=43680 refBig_us=117424
seq=164 ev=SKIP      val_us=8528 refBig_us=115600
seq=165 ev=FIRED     val_us=182112 refBig_us=130352 period_us=143168 rpm=419 resid_us=40192 edgeToSpark_us=125264
WATCHDOG: STALL gap_us=3000012
seq=166 ev=REJECTED  val_us=76838448 refBig_us=130352
seq=167 ev=SKIP      val_us=6080 refBig_us=128320
seq=168 ev=SKIP      val_us=7776 refBig_us=126320
seq=169 ev=SKIP      val_us=3872 refBig_us=124352
seq=170 ev=SKIP      val_us=12464 refBig_us=122416
seq=171 ev=SYNCCAND  val_us=116208 refBig_us=120512
seq=172 ev=SKIP      val_us=3136 refBig_us=118640
seq=173 ev=SKIP      val_us=7984 refBig_us=116800
seq=174 ev=SKIP      val_us=2608 refBig_us=114976
