[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM11] cyl=1 seq=25 ev=FIRED     val_us=219952 refBig_us=72048 period_us=120960 rpm=496 resid_us=-23440 edgeToSpark_us=109200
[COM12] cyl=2 seq=22 ev=SYNCCAND  val_us=91792 refBig_us=71776
[COM11] cyl=1 seq=26 ev=SKIP      val_us=22896 refBig_us=70928
[COM12] cyl=2 seq=23 ev=SKIP      val_us=5616 refBig_us=70656
[COM11] cyl=1 seq=27 ev=SKIP      val_us=9168 refBig_us=69824
[COM12] cyl=2 seq=24 ev=SKIP      val_us=31296 refBig_us=69552
[COM12] cyl=2 seq=25 ev=SKIP      val_us=14848 refBig_us=68480
[COM13] cyl=3 seq=24 ev=FIRED     val_us=73936 refBig_us=88192 period_us=62080 rpm=966 resid_us=12224 edgeToSpark_us=62640
[COM13] cyl=3 seq=25 ev=SKIP      val_us=4304 refBig_us=86816
[COM12] cyl=2 seq=26 ev=SKIP      val_us=10784 refBig_us=67424
[COM13] cyl=3 seq=26 ev=SKIP      val_us=6288 refBig_us=85472
[COM13] cyl=3 seq=27 ev=SKIP      val_us=45424 refBig_us=84144
[COM13] cyl=3 seq=28 ev=SKIP      val_us=9344 refBig_us=82832
[COM11] cyl=1 seq=28 ev=FIRED     val_us=133840 refBig_us=87280 period_us=121360 rpm=494 resid_us=12880 edgeToSpark_us=113392
[COM11] cyl=1 seq=29 ev=SKIP      val_us=19584 refBig_us=85920
[COM12] cyl=2 seq=27 ev=SYNCCAND  val_us=155904 refBig_us=84272
[COM12] cyl=2 seq=28 ev=SKIP      val_us=5584 refBig_us=82960
[COM11] cyl=1 seq=30 ev=SKIP      val_us=13584 refBig_us=84592
[COM12] cyl=2 seq=29 ev=SKIP      val_us=31856 refBig_us=81664
[COM13] cyl=3 seq=29 ev=FIRED     val_us=161424 refBig_us=85360 period_us=61296 rpm=978 resid_us=-24816 edgeToSpark_us=53632
[COM12] cyl=2 seq=30 ev=SKIP      val_us=17248 refBig_us=80400
[COM12] cyl=2 seq=31 ev=SKIP      val_us=8256 refBig_us=79152
[COM13] cyl=3 seq=30 ev=SKIP      val_us=61360 refBig_us=84032
[COM13] cyl=3 seq=31 ev=SKIP      val_us=10352 refBig_us=82720
[COM11] cyl=1 seq=31 ev=FIRED     val_us=168160 refBig_us=105728 period_us=122816 rpm=488 resid_us=46800 edgeToSpark_us=142464
[COM12] cyl=2 seq=32 ev=SYNCFIRST val_us=153920 refBig_us=90976
[COM11] cyl=1 seq=32 ev=SKIP      val_us=23248 refBig_us=104080
[COM11] cyl=1 seq=33 ev=SKIP      val_us=10288 refBig_us=102464
[COM13] cyl=3 seq=32 ev=FIRED     val_us=135408 refBig_us=85408 period_us=61696 rpm=972 resid_us=12816 edgeToSpark_us=57344
[COM13] cyl=3 seq=33 ev=SKIP      val_us=5600 refBig_us=84080
[COM12] cyl=2 seq=33 ev=SKIP      val_us=66096 refBig_us=89568
[COM11] cyl=1 seq=34 ev=FIRED     val_us=164256 refBig_us=100864 period_us=124096 rpm=483 resid_us=41440 edgeToSpark_us=139152
[COM13] cyl=3 seq=34 ev=SKIP      val_us=66768 refBig_us=82768
[COM11] cyl=1 seq=35 ev=SKIP      val_us=34544 refBig_us=99296
[COM11] cyl=1 seq=36 ev=SKIP      val_us=17248 refBig_us=97760
[COM11] cyl=1 seq=37 ev=SKIP      val_us=5536 refBig_us=96240
[COM12] cyl=2 seq=34 ev=FIRED     val_us=157456 refBig_us=91360 period_us=154016 rpm=389 resid_us=3536 edgeToSpark_us=139040
[COM11] cyl=1 seq=38 ev=SKIP      val_us=10160 refBig_us=94752
[COM12] cyl=2 seq=35 ev=SKIP      val_us=39584 refBig_us=89936
[COM12] cyl=2 seq=36 ev=SKIP      val_us=4112 refBig_us=88544
[COM13] cyl=3 seq=35 ev=FIRED     val_us=175952 refBig_us=92368 period_us=61408 rpm=977 resid_us=-9136 edgeToSpark_us=53728
[COM12] cyl=2 seq=37 ev=SKIP      val_us=21248 refBig_us=87168
[COM13] cyl=3 seq=36 ev=SKIP      val_us=54144 refBig_us=90928
[COM11] cyl=1 seq=39 ev=FIRED     val_us=194640 refBig_us=93280 period_us=122416 rpm=490 resid_us=-53552 edgeToSpark_us=110512
[COM13] cyl=3 seq=37 ev=SKIP      val_us=10832 refBig_us=89520
[COM11] cyl=1 seq=40 ev=SKIP      val_us=56704 refBig_us=91824
[COM12] cyl=2 seq=38 ev=FIRED     val_us=161920 refBig_us=93872 period_us=154256 rpm=388 resid_us=7904 edgeToSpark_us=139248
[COM11] cyl=1 seq=41 ev=SKIP      val_us=10736 refBig_us=90400
[COM12] cyl=2 seq=39 ev=SKIP      val_us=53776 refBig_us=92416
[COM13] cyl=3 seq=38 ev=FIRED     val_us=146912 refBig_us=89920 period_us=62160 rpm=965 resid_us=24096 edgeToSpark_us=62224
[COM13] cyl=3 seq=39 ev=SKIP      val_us=10240 refBig_us=88528
[COM12] cyl=2 seq=40 ev=SKIP      val_us=10752 refBig_us=90976
[COM13] cyl=3 seq=40 ev=SKIP      val_us=22880 refBig_us=87152
[COM13] cyl=3 seq=41 ev=SKIP      val_us=23984 refBig_us=85792
[COM13] cyl=3 seq=42 ev=SKIP      val_us=9152 refBig_us=84464
[COM11] cyl=1 seq=42 ev=FIRED     val_us=143376 refBig_us=112992 period_us=123056 rpm=487 resid_us=20960 edgeToSpark_us=121456
[COM11] cyl=1 seq=43 ev=SKIP      val_us=23872 refBig_us=111232
[COM12] cyl=2 seq=41 ev=FIRED     val_us=162000 refBig_us=89568 period_us=154496 rpm=388 resid_us=7744 edgeToSpark_us=139472
[COM12] cyl=2 seq=42 ev=SKIP      val_us=3456 refBig_us=88176
[COM11] cyl=1 seq=44 ev=SKIP      val_us=8816 refBig_us=109504
