[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] cyl=3 seq=29 ev=SKIP      val_us=32480 refBig_us=85504
[COM11] cyl=1 seq=25 ev=SYNCCAND  val_us=156160 refBig_us=80752
[COM13] cyl=3 seq=30 ev=SKIP      val_us=24416 refBig_us=84176
[COM13] cyl=3 seq=31 ev=SKIP      val_us=9296 refBig_us=82864
[COM11] cyl=1 seq=26 ev=SKIP      val_us=35136 refBig_us=79504
[COM12] cyl=2 seq=21 ev=SYNCCAND  val_us=150592 refBig_us=92080
[COM11] cyl=1 seq=27 ev=SKIP      val_us=23344 refBig_us=78272
[COM12] cyl=2 seq=22 ev=SKIP      val_us=4672 refBig_us=90656
[COM11] cyl=1 seq=28 ev=SKIP      val_us=10320 refBig_us=77056
[COM13] cyl=3 seq=32 ev=FIRED     val_us=175456 refBig_us=89600 period_us=68976 rpm=869 resid_us=-34736 edgeToSpark_us=60352
[COM13] cyl=3 seq=33 ev=SKIP      val_us=3856 refBig_us=88208
[COM12] cyl=2 seq=23 ev=SYNCCAND  val_us=68736 refBig_us=89248
[COM13] cyl=3 seq=34 ev=SKIP      val_us=29696 refBig_us=86832
[COM11] cyl=1 seq=29 ev=SYNCFIRST val_us=160928 refBig_us=92128
[COM13] cyl=3 seq=35 ev=SKIP      val_us=35888 refBig_us=85488
[COM11] cyl=1 seq=30 ev=SKIP      val_us=32976 refBig_us=90704
[COM11] cyl=1 seq=31 ev=SKIP      val_us=19312 refBig_us=89296
[COM12] cyl=2 seq=24 ev=SYNCFIRST val_us=91360 refBig_us=91360
[COM12] cyl=2 seq=25 ev=SKIP      val_us=4512 refBig_us=89936
[COM11] cyl=1 seq=32 ev=SKIP      val_us=13792 refBig_us=87904
[COM12] cyl=2 seq=26 ev=SKIP      val_us=32336 refBig_us=88544
[COM12] cyl=2 seq=27 ev=SKIP      val_us=17424 refBig_us=87168
[COM13] cyl=3 seq=36 ev=FIRED     val_us=132816 refBig_us=93760 period_us=68800 rpm=872 resid_us=-5136 edgeToSpark_us=60192
[COM12] cyl=2 seq=28 ev=SKIP      val_us=13296 refBig_us=85808
[COM13] cyl=3 seq=37 ev=SKIP      val_us=30016 refBig_us=92304
[COM11] cyl=1 seq=33 ev=FIRED     val_us=156816 refBig_us=90736 period_us=160784 rpm=373 resid_us=-4112 edgeToSpark_us=145152
[COM13] cyl=3 seq=38 ev=SKIP      val_us=34704 refBig_us=90864
[COM11] cyl=1 seq=34 ev=SKIP      val_us=33840 refBig_us=89328
[COM11] cyl=1 seq=35 ev=SKIP      val_us=19872 refBig_us=87936
[COM12] cyl=2 seq=29 ev=FIRED     val_us=157760 refBig_us=90192 period_us=90576 rpm=662 resid_us=-24960 edgeToSpark_us=79248
[COM12] cyl=2 seq=30 ev=SKIP      val_us=4560 refBig_us=88784
[COM11] cyl=1 seq=36 ev=SKIP      val_us=13920 refBig_us=86576
[COM12] cyl=2 seq=31 ev=SKIP      val_us=46400 refBig_us=87408
[COM12] cyl=2 seq=32 ev=SKIP      val_us=5808 refBig_us=86048
[COM13] cyl=3 seq=39 ev=FIRED     val_us=152896 refBig_us=92656 period_us=69264 rpm=866 resid_us=15296 edgeToSpark_us=64768
[COM12] cyl=2 seq=33 ev=SKIP      val_us=8976 refBig_us=84704
[COM11] cyl=1 seq=37 ev=FIRED     val_us=152704 refBig_us=88656 period_us=160528 rpm=373 resid_us=-8080 edgeToSpark_us=144912
[COM13] cyl=3 seq=40 ev=SKIP      val_us=54752 refBig_us=91216
[COM13] cyl=3 seq=41 ev=SKIP      val_us=10224 refBig_us=89792
[COM11] cyl=1 seq=38 ev=SKIP      val_us=37088 refBig_us=87280
[COM11] cyl=1 seq=39 ev=SKIP      val_us=22272 refBig_us=85920
[COM12] cyl=2 seq=34 ev=FIRED     val_us=141328 refBig_us=97424 period_us=89328 rpm=671 resid_us=-39824 edgeToSpark_us=78160
[COM11] cyl=1 seq=40 ev=SKIP      val_us=11840 refBig_us=84592
[COM12] cyl=2 seq=35 ev=SKIP      val_us=32048 refBig_us=95904
[COM13] cyl=3 seq=42 ev=FIRED     val_us=170336 refBig_us=91968 period_us=70256 rpm=854 resid_us=31808 edgeToSpark_us=72144
[COM13] cyl=3 seq=43 ev=SKIP      val_us=9328 refBig_us=90544
[COM12] cyl=2 seq=36 ev=SKIP      val_us=28352 refBig_us=94416
[COM13] cyl=3 seq=44 ev=SKIP      val_us=47920 refBig_us=89136
[COM13] cyl=3 seq=45 ev=SKIP      val_us=9568 refBig_us=87744
[COM11] cyl=1 seq=41 ev=FIRED     val_us=188288 refBig_us=105728 period_us=161392 rpm=371 resid_us=27760 edgeToSpark_us=159520
[COM11] cyl=1 seq=42 ev=SKIP      val_us=22000 refBig_us=104080
[COM12] cyl=2 seq=37 ev=FIRED     val_us=117264 refBig_us=92944 period_us=90192 rpm=665 resid_us=27936 edgeToSpark_us=99344
[COM11] cyl=1 seq=43 ev=SKIP      val_us=10608 refBig_us=102464
[COM12] cyl=2 seq=38 ev=SKIP      val_us=38976 refBig_us=91504
[COM12] cyl=2 seq=39 ev=SKIP      val_us=3872 refBig_us=90080
[COM13] cyl=3 seq=46 ev=FIRED     val_us=189232 refBig_us=94576 period_us=69568 rpm=862 resid_us=-21536 edgeToSpark_us=60864
[COM12] cyl=2 seq=40 ev=SKIP      val_us=25312 refBig_us=88688
[COM11] cyl=1 seq=44 ev=FIRED     val_us=146416 refBig_us=100864 period_us=160912 rpm=372 resid_us=-14976 edgeToSpark_us=145264
[COM13] cyl=3 seq=47 ev=FIRED     val_us=45488 refBig_us=93104 period_us=68800 rpm=872 resid_us=-24080 edgeToSpark_us=60192
[COM11] cyl=1 seq=45 ev=SKIP      val_us=57088 refBig_us=99296
[COM12] cyl=2 seq=41 ev=FIRED     val_us=186832 refBig_us=94224 period_us=90384 rpm=663 resid_us=6448 edgeToSpark_us=79136
