[COM9] WATCHDOG: STALL gap_us=3000012
[COM10] WATCHDOG: STALL gap_us=3000012
[COM9] seq=40 ev=FIRED     val_us=155584 refBig_us=92224 period_us=160528 rpm=373 resid_us=-5104 edgeToSpark_us=144912
[COM10] seq=46 ev=SKIP      val_us=13168 refBig_us=87792
[COM9] seq=41 ev=EARLY     val_us=60464 refBig_us=90784
[COM10] seq=47 ev=FIRED     val_us=176288 refBig_us=89136 period_us=124384 rpm=482 resid_us=53568 edgeToSpark_us=149344
[COM10] seq=48 ev=SKIP      val_us=36576 refBig_us=87744
[COM10] seq=49 ev=SKIP      val_us=23616 refBig_us=86384
[COM9] seq=42 ev=FIRED     val_us=155168 refBig_us=94704 period_us=160352 rpm=374 resid_us=-5360 edgeToSpark_us=144752
[COM10] seq=50 ev=SKIP      val_us=10064 refBig_us=85040
[COM9] seq=43 ev=SKIP      val_us=36704 refBig_us=93232
[COM9] seq=44 ev=SKIP      val_us=2640 refBig_us=91776
[COM9] seq=45 ev=SKIP      val_us=26752 refBig_us=90352
[COM10] seq=51 ev=FIRED     val_us=208592 refBig_us=91456 period_us=123120 rpm=487 resid_us=-40176 edgeToSpark_us=111136
[COM10] seq=52 ev=SKIP      val_us=34016 refBig_us=90032
[COM10] seq=53 ev=SKIP      val_us=23680 refBig_us=88640
[COM9] seq=46 ev=FIRED     val_us=155104 refBig_us=93696 period_us=160176 rpm=374 resid_us=-5248 edgeToSpark_us=144592
[COM9] seq=47 ev=SKIP      val_us=4064 refBig_us=92240
[COM10] seq=54 ev=SKIP      val_us=9808 refBig_us=87264
[COM9] seq=48 ev=SKIP      val_us=33520 refBig_us=90800
[COM9] seq=49 ev=SKIP      val_us=4368 refBig_us=89392
[COM9] seq=50 ev=SKIP      val_us=22480 refBig_us=88000
[COM10] seq=55 ev=FIRED     val_us=123360 refBig_us=91008 period_us=123120 rpm=487 resid_us=240 edgeToSpark_us=111136
[COM10] seq=56 ev=SKIP      val_us=35600 refBig_us=89600
[COM10] seq=57 ev=SKIP      val_us=18880 refBig_us=88208
[COM9] seq=51 ev=FIRED     val_us=154192 refBig_us=94352 period_us=159984 rpm=375 resid_us=-5984 edgeToSpark_us=144416
[COM10] seq=58 ev=SKIP      val_us=14928 refBig_us=86832
[COM9] seq=52 ev=EARLY     val_us=60864 refBig_us=92880
[COM10] seq=59 ev=FIRED     val_us=162896 refBig_us=93264 period_us=124352 rpm=482 resid_us=39776 edgeToSpark_us=138000
[COM10] seq=60 ev=SKIP      val_us=53312 refBig_us=91808
[COM9] seq=53 ev=FIRED     val_us=156736 refBig_us=95872 period_us=159872 rpm=375 resid_us=-3248 edgeToSpark_us=144320
[COM10] seq=61 ev=SKIP      val_us=13184 refBig_us=90384
[COM9] seq=54 ev=SKIP      val_us=37616 refBig_us=94384
[COM9] seq=55 ev=SKIP      val_us=2928 refBig_us=92912
[COM9] seq=56 ev=SKIP      val_us=25360 refBig_us=91472
