[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] cyl=2 seq=19 ev=IMPLAUS   val_us=96368 refBig_us=59008
[COM11] cyl=1 seq=46 ev=SKIP      val_us=25200 refBig_us=37232
[COM12] cyl=2 seq=20 ev=SKIP      val_us=4320 refBig_us=58096
[COM12] cyl=2 seq=21 ev=SKIP      val_us=4432 refBig_us=57200
[COM11] cyl=1 seq=47 ev=SKIP      val_us=10688 refBig_us=36656
[COM12] cyl=2 seq=22 ev=SKIP      val_us=8096 refBig_us=56320
[COM13] cyl=3 seq=22 ev=SYNCCAND  val_us=102528 refBig_us=56112
[COM13] cyl=3 seq=23 ev=SKIP      val_us=5312 refBig_us=55248
[COM13] cyl=3 seq=24 ev=SKIP      val_us=9152 refBig_us=54400
[COM12] cyl=2 seq=23 ev=IMPLAUS   val_us=69088 refBig_us=55440
[COM13] cyl=3 seq=25 ev=SKIP      val_us=22928 refBig_us=53552
[COM11] cyl=1 seq=48 ev=FIRED     val_us=165344 refBig_us=45808 period_us=136912 rpm=438 resid_us=29344 edgeToSpark_us=140080
[COM13] cyl=3 seq=26 ev=SKIP      val_us=35568 refBig_us=52720
[COM11] cyl=1 seq=49 ev=EARLY     val_us=64240 refBig_us=45104
[COM11] cyl=1 seq=50 ev=SKIP      val_us=22512 refBig_us=44400
[COM12] cyl=2 seq=24 ev=SYNCCAND  val_us=100512 refBig_us=69296
[COM12] cyl=2 seq=25 ev=SKIP      val_us=3984 refBig_us=68224
[COM11] cyl=1 seq=51 ev=SKIP      val_us=11472 refBig_us=43712
[COM13] cyl=3 seq=27 ev=SYNCCAND  val_us=160208 refBig_us=65888
[COM13] cyl=3 seq=28 ev=SKIP      val_us=8224 refBig_us=64864
[COM12] cyl=2 seq=26 ev=IMPLAUS   val_us=64128 refBig_us=67168
[COM11] cyl=1 seq=52 ev=FIRED     val_us=188944 refBig_us=54640 period_us=138528 rpm=433 resid_us=52032 edgeToSpark_us=160064
[COM11] cyl=1 seq=53 ev=SKIP      val_us=5632 refBig_us=53792
[COM13] cyl=3 seq=29 ev=IMPLAUS   val_us=66528 refBig_us=63856
[COM13] cyl=3 seq=30 ev=SKIP      val_us=10112 refBig_us=62864
[COM11] cyl=1 seq=54 ev=SKIP      val_us=26320 refBig_us=52960
[COM11] cyl=1 seq=55 ev=SKIP      val_us=7712 refBig_us=52144
[COM11] cyl=1 seq=56 ev=SKIP      val_us=19760 refBig_us=51344
[COM12] cyl=2 seq=27 ev=IMPLAUS   val_us=97200 refBig_us=83952
[COM11] cyl=1 seq=57 ev=SKIP      val_us=14176 refBig_us=50544
[COM12] cyl=2 seq=28 ev=SKIP      val_us=41488 refBig_us=82656
[COM13] cyl=3 seq=31 ev=SYNCCAND  val_us=101136 refBig_us=78576
[COM13] cyl=3 seq=32 ev=SKIP      val_us=5664 refBig_us=77360
[COM12] cyl=2 seq=29 ev=SKIP      val_us=28032 refBig_us=81376
[COM11] cyl=1 seq=58 ev=FIRED     val_us=212704 refBig_us=63168 period_us=136512 rpm=439 resid_us=-64352 edgeToSpark_us=123232
[COM13] cyl=3 seq=33 ev=IMPLAUS   val_us=63664 refBig_us=76160
[COM13] cyl=3 seq=34 ev=SKIP      val_us=10928 refBig_us=74976
[COM11] cyl=1 seq=59 ev=SKIP      val_us=37072 refBig_us=62192
[COM11] cyl=1 seq=60 ev=SKIP      val_us=5664 refBig_us=61232
[COM11] cyl=1 seq=61 ev=SKIP      val_us=17488 refBig_us=60288
[COM12] cyl=2 seq=30 ev=SYNCCAND  val_us=166608 refBig_us=97088
[COM11] cyl=1 seq=62 ev=SKIP      val_us=11040 refBig_us=59360
[COM12] cyl=2 seq=31 ev=SKIP      val_us=46656 refBig_us=95584
[COM13] cyl=3 seq=35 ev=SYNCCAND  val_us=106672 refBig_us=93712
[COM12] cyl=2 seq=32 ev=SKIP      val_us=20624 refBig_us=94096
[COM11] cyl=1 seq=63 ev=FIRED     val_us=107744 refBig_us=74192 period_us=135600 rpm=442 resid_us=-28768 edgeToSpark_us=122416
[COM13] cyl=3 seq=36 ev=SKIP      val_us=59040 refBig_us=92256
[COM13] cyl=3 seq=37 ev=SKIP      val_us=9600 refBig_us=90816
[COM11] cyl=1 seq=64 ev=SKIP      val_us=38448 refBig_us=73040
[COM11] cyl=1 seq=65 ev=SKIP      val_us=19232 refBig_us=71904
[COM12] cyl=2 seq=33 ev=SYNCFIRST val_us=163552 refBig_us=96272
[COM11] cyl=1 seq=66 ev=SKIP      val_us=15776 refBig_us=70784
[COM13] cyl=3 seq=38 ev=SYNCCAND  val_us=160672 refBig_us=92032
[COM12] cyl=2 seq=34 ev=SKIP      val_us=51568 refBig_us=94768
[COM12] cyl=2 seq=35 ev=SKIP      val_us=3904 refBig_us=93296
[COM13] cyl=3 seq=39 ev=SKIP      val_us=7024 refBig_us=90608
[COM12] cyl=2 seq=36 ev=SKIP      val_us=11520 refBig_us=91840
[COM11] cyl=1 seq=67 ev=FIRED     val_us=142112 refBig_us=88480 period_us=135792 rpm=441 resid_us=6512 edgeToSpark_us=122576
[COM13] cyl=3 seq=40 ev=IMPLAUS   val_us=74944 refBig_us=89200
[COM11] cyl=1 seq=68 ev=SKIP      val_us=38960 refBig_us=87104
[COM11] cyl=1 seq=70 missed=1 ev=SKIP      val_us=2336 refBig_us=84416
[COM12] cyl=2 seq=37 ev=FIRED     val_us=162112 refBig_us=95120 period_us=163504 rpm=366 resid_us=-1440 edgeToSpark_us=147600
[COM11] cyl=1 seq=71 ev=SKIP      val_us=19600 refBig_us=83104
[COM12] cyl=2 seq=38 ev=SKIP      val_us=4336 refBig_us=93648
[COM11] cyl=1 seq=72 ev=SKIP      val_us=9584 refBig_us=81808
[COM12] cyl=2 seq=39 ev=SKIP      val_us=42848 refBig_us=92192
[COM13] cyl=3 seq=41 ev=IMPLAUS   val_us=92672 refBig_us=92672
[COM12] cyl=2 seq=40 ev=SKIP      val_us=24064 refBig_us=90752
[COM11] cyl=1 seq=73 ev=FIRED     val_us=171728 refBig_us=94464 period_us=136912 rpm=438 resid_us=35936 edgeToSpark_us=145488
[COM13] cyl=3 seq=42 ev=SKIP      val_us=61776 refBig_us=91232
[COM13] cyl=3 seq=43 ev=SKIP      val_us=11312 refBig_us=89808
[COM11] cyl=1 seq=74 ev=SKIP      val_us=60192 refBig_us=92992
[COM12] cyl=2 seq=41 ev=FIRED     val_us=166784 refBig_us=96784 period_us=163600 rpm=366 resid_us=3280 edgeToSpark_us=147680
[COM12] cyl=2 seq=42 ev=SKIP      val_us=3664 refBig_us=95280
[COM11] cyl=1 seq=75 ev=SKIP      val_us=10224 refBig_us=91552
[COM12] cyl=2 seq=43 ev=SKIP      val_us=33856 refBig_us=93792
[COM12] cyl=2 seq=44 ev=SKIP      val_us=7392 refBig_us=92336
[COM13] cyl=3 seq=44 ev=SYNCCAND  val_us=159408 refBig_us=88416
[COM13] cyl=3 seq=45 ev=SKIP      val_us=5472 refBig_us=87040
[COM13] cyl=3 seq=46 ev=SKIP      val_us=4496 refBig_us=85680
[COM12] cyl=2 seq=45 ev=SKIP      val_us=22640 refBig_us=90896
[COM11] cyl=1 seq=76 ev=FIRED     val_us=192448 refBig_us=90128 period_us=138640 rpm=432 resid_us=55536 edgeToSpark_us=163040
[COM11] cyl=1 seq=77 ev=SKIP      val_us=3744 refBig_us=88720
[COM13] cyl=3 seq=47 ev=SKIP      val_us=56608 refBig_us=84352
[COM13] cyl=3 seq=48 ev=SKIP      val_us=8912 refBig_us=83040
[COM11] cyl=1 seq=78 ev=SKIP      val_us=35296 refBig_us=87344
[COM11] cyl=1 seq=79 ev=SKIP      val_us=23856 refBig_us=85984
[COM12] cyl=2 seq=46 ev=FIRED     val_us=168064 refBig_us=97632 period_us=163728 rpm=366 resid_us=4464 edgeToSpark_us=147808
[COM11] cyl=1 seq=80 ev=SKIP      val_us=10560 refBig_us=84656
[COM13] cyl=3 seq=49 ev=SYNCFIRST val_us=169904 refBig_us=94416
[COM12] cyl=2 seq=47 ev=SKIP      val_us=52752 refBig_us=96112
[COM12] cyl=2 seq=48 ev=SKIP      val_us=3728 refBig_us=94624
[COM12] cyl=2 seq=49 ev=SKIP      val_us=13664 refBig_us=93152
[COM11] cyl=1 seq=81 ev=FIRED     val_us=213120 refBig_us=91056 period_us=136624 rpm=439 resid_us=-64160 edgeToSpark_us=123328
[COM13] cyl=3 seq=50 ev=EARLY     val_us=71280 refBig_us=92944
[COM11] cyl=1 seq=82 ev=SKIP      val_us=40336 refBig_us=89648
[COM11] cyl=1 seq=83 ev=SKIP      val_us=16736 refBig_us=88256
[COM11] cyl=1 seq=84 ev=SKIP      val_us=6560 refBig_us=86880
[COM12] cyl=2 seq=50 ev=FIRED     val_us=169872 refBig_us=95808 period_us=163920 rpm=366 resid_us=6144 edgeToSpark_us=147968
[COM11] cyl=1 seq=85 ev=SKIP      val_us=10928 refBig_us=85536
[COM12] cyl=2 seq=51 ev=SKIP      val_us=37280 refBig_us=94320
[COM13] cyl=3 seq=51 ev=FIRED     val_us=159152 refBig_us=91504 period_us=169568 rpm=353 resid_us=-10752 edgeToSpark_us=153072
[COM13] cyl=3 seq=52 ev=SKIP      val_us=6176 refBig_us=90080
[COM12] cyl=2 seq=52 ev=SKIP      val_us=29088 refBig_us=92848
[COM11] cyl=1 seq=86 ev=FIRED     val_us=108304 refBig_us=89872 period_us=135728 rpm=442 resid_us=-28320 edgeToSpark_us=122528
[COM13] cyl=3 seq=53 ev=SKIP      val_us=61152 refBig_us=88688
[COM13] cyl=3 seq=54 ev=SKIP      val_us=11040 refBig_us=87312
[COM11] cyl=1 seq=87 ev=SKIP      val_us=62400 refBig_us=88480
[COM12] cyl=2 seq=53 ev=FIRED     val_us=170304 refBig_us=98560 period_us=164112 rpm=365 resid_us=6384 edgeToSpark_us=148144
[COM11] cyl=1 seq=88 ev=SKIP      val_us=13376 refBig_us=87104
[COM12] cyl=2 seq=54 ev=SKIP      val_us=40416 refBig_us=97024
[COM12] cyl=2 seq=55 ev=SKIP      val_us=17488 refBig_us=95520
[COM13] cyl=3 seq=55 ev=FIRED     val_us=163744 refBig_us=94784 period_us=169376 rpm=354 resid_us=-5824 edgeToSpark_us=152896
[COM13] cyl=3 seq=56 ev=SKIP      val_us=3648 refBig_us=93312
[COM12] cyl=2 seq=56 ev=SKIP      val_us=9600 refBig_us=94032
[COM13] cyl=3 seq=57 ev=SKIP      val_us=56128 refBig_us=91856
[COM11] cyl=1 seq=89 ev=FIRED     val_us=147424 refBig_us=96416 period_us=136080 rpm=440 resid_us=11696 edgeToSpark_us=124896
[COM13] cyl=3 seq=58 ev=SKIP      val_us=14832 refBig_us=90432
[COM11] cyl=1 seq=90 ev=SKIP      val_us=57008 refBig_us=94912
[COM12] cyl=2 seq=57 ev=FIRED     val_us=168928 refBig_us=95824 period_us=164256 rpm=365 resid_us=4816 edgeToSpark_us=148272
[COM12] cyl=2 seq=58 ev=SKIP      val_us=4032 refBig_us=94336
[COM11] cyl=1 seq=91 ev=SKIP      val_us=13648 refBig_us=93440
[COM12] cyl=2 seq=59 ev=SKIP      val_us=52528 refBig_us=92864
[COM13] cyl=3 seq=59 ev=FIRED     val_us=164976 refBig_us=95456 period_us=169232 rpm=354 resid_us=-4400 edgeToSpark_us=152768
[COM13] cyl=3 seq=60 ev=SKIP      val_us=6912 refBig_us=93968
[COM12] cyl=2 seq=60 ev=SKIP      val_us=14048 refBig_us=91424
[COM11] cyl=1 seq=92 ev=FIRED     val_us=175328 refBig_us=94432 period_us=137296 rpm=437 resid_us=39248 edgeToSpark_us=148528
[COM13] cyl=3 seq=61 ev=SKIP      val_us=59648 refBig_us=92512
[COM11] cyl=1 seq=93 ev=SKIP      val_us=36160 refBig_us=92960
[COM11] cyl=1 seq=94 ev=SKIP      val_us=18592 refBig_us=91520
