[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] cyl=2 seq=24 ev=SKIP      val_us=3824 refBig_us=88096
[COM11] cyl=1 seq=27 ev=SKIP      val_us=11520 refBig_us=56576
[COM13] cyl=3 seq=27 ev=SYNCCAND  val_us=150304 refBig_us=81296
[COM12] cyl=2 seq=25 ev=SKIP      val_us=61376 refBig_us=86720
[COM13] cyl=3 seq=28 ev=SKIP      val_us=34352 refBig_us=80032
[COM11] cyl=1 seq=28 ev=FIRED     val_us=157328 refBig_us=70720 period_us=156432 rpm=383 resid_us=912 edgeToSpark_us=141216
[COM13] cyl=3 seq=29 ev=SKIP      val_us=40800 refBig_us=78784
[COM11] cyl=1 seq=29 ev=SKIP      val_us=54368 refBig_us=69616
[COM12] cyl=2 seq=26 ev=SYNCFIRST val_us=159280 refBig_us=94080
[COM12] cyl=2 seq=27 ev=SKIP      val_us=4288 refBig_us=92624
[COM11] cyl=1 seq=30 ev=SKIP      val_us=15504 refBig_us=68544
[COM13] cyl=3 seq=30 ev=SYNCFIRST val_us=167024 refBig_us=91872
[COM12] cyl=2 seq=28 ev=SKIP      val_us=62544 refBig_us=91184
[COM13] cyl=3 seq=31 ev=SKIP      val_us=55792 refBig_us=90448
[COM11] cyl=1 seq=31 ev=FIRED     val_us=164288 refBig_us=85680 period_us=156672 rpm=382 resid_us=7856 edgeToSpark_us=141440
[COM13] cyl=3 seq=32 ev=SKIP      val_us=9360 refBig_us=89040
[COM11] cyl=1 seq=32 ev=SKIP      val_us=32208 refBig_us=84352
[COM11] cyl=1 seq=33 ev=SKIP      val_us=21536 refBig_us=83040
[COM12] cyl=2 seq=29 ev=FIRED     val_us=160240 refBig_us=93408 period_us=159296 rpm=376 resid_us=960 edgeToSpark_us=143808
[COM12] cyl=2 seq=30 ev=SKIP      val_us=4800 refBig_us=91952
[COM11] cyl=1 seq=34 ev=SKIP      val_us=11728 refBig_us=81744
[COM12] cyl=2 seq=31 ev=SKIP      val_us=33392 refBig_us=90528
[COM12] cyl=2 seq=32 ev=SKIP      val_us=3344 refBig_us=89120
[COM13] cyl=3 seq=33 ev=FIRED     val_us=150192 refBig_us=87664 period_us=166496 rpm=360 resid_us=-16832 edgeToSpark_us=150304
[COM13] cyl=3 seq=34 ev=SKIP      val_us=9680 refBig_us=86304
[COM12] cyl=2 seq=33 ev=SKIP      val_us=12496 refBig_us=87728
[COM12] cyl=2 seq=34 ev=SKIP      val_us=10528 refBig_us=86368
[COM11] cyl=1 seq=35 ev=FIRED     val_us=162496 refBig_us=90144 period_us=156848 rpm=382 resid_us=5824 edgeToSpark_us=141584
[COM13] cyl=3 seq=35 ev=SKIP      val_us=53888 refBig_us=84960
[COM13] cyl=3 seq=36 ev=SKIP      val_us=10352 refBig_us=83648
[COM11] cyl=1 seq=36 ev=SKIP      val_us=36480 refBig_us=88736
[COM11] cyl=1 seq=37 ev=SKIP      val_us=21904 refBig_us=87360
[COM12] cyl=2 seq=35 ev=FIRED     val_us=159504 refBig_us=94096 period_us=159296 rpm=376 resid_us=208 edgeToSpark_us=143808
[COM11] cyl=1 seq=38 ev=SKIP      val_us=10336 refBig_us=86000
[COM12] cyl=2 seq=36 ev=SKIP      val_us=37952 refBig_us=92640
[COM13] cyl=3 seq=37 ev=FIRED     val_us=148752 refBig_us=89552 period_us=165936 rpm=361 resid_us=-17744 edgeToSpark_us=149792
[COM13] cyl=3 seq=38 ev=SKIP      val_us=6128 refBig_us=88160
[COM12] cyl=2 seq=37 ev=SKIP      val_us=27072 refBig_us=91200
[COM11] cyl=1 seq=39 ev=FIRED     val_us=165776 refBig_us=91952 period_us=157120 rpm=381 resid_us=8928 edgeToSpark_us=141840
[COM13] cyl=3 seq=39 ev=SKIP      val_us=63984 refBig_us=86784
[COM11] cyl=1 seq=40 ev=SKIP      val_us=34112 refBig_us=90528
[COM11] cyl=1 seq=41 ev=SKIP      val_us=19392 refBig_us=89120
[COM12] cyl=2 seq=38 ev=FIRED     val_us=157344 refBig_us=92128 period_us=159232 rpm=376 resid_us=-1952 edgeToSpark_us=143744
