---- summary ----
edges=332 dropped=0
EDGE=RISE gap_us=2896
EDGE=FALL pulse_us=7408
EDGE=RISE gap_us=17392
EDGE=FALL pulse_us=3664
EDGE=RISE gap_us=8032
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=9200
EDGE=FALL pulse_us=32416
EDGE=RISE gap_us=2816
EDGE=FALL pulse_us=5536
EDGE=RISE gap_us=17600
EDGE=FALL pulse_us=4288
EDGE=RISE gap_us=6112
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=10688
EDGE=FALL pulse_us=40352
EDGE=RISE gap_us=14128
EDGE=FALL pulse_us=7632
EDGE=RISE gap_us=6800
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=4864
EDGE=FALL pulse_us=36944
EDGE=RISE gap_us=3104
EDGE=FALL pulse_us=4880
EDGE=RISE gap_us=18208
EDGE=FALL pulse_us=4224
EDGE=RISE gap_us=6496
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=9088
EDGE=FALL pulse_us=33424
EDGE=RISE gap_us=2400
EDGE=FALL pulse_us=6032
EDGE=RISE gap_us=13328
EDGE=FALL pulse_us=8496
EDGE=RISE gap_us=6112
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8480
EDGE=FALL pulse_us=43552
EDGE=RISE gap_us=13184
EDGE=FALL pulse_us=8000
EDGE=RISE gap_us=5728
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=8448
EDGE=FALL pulse_us=33584
EDGE=RISE gap_us=2832
EDGE=FALL pulse_us=7376
EDGE=RISE gap_us=15584
EDGE=FALL pulse_us=5312
EDGE=RISE gap_us=6736
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8016
EDGE=FALL pulse_us=33200
EDGE=RISE gap_us=4192
EDGE=FALL pulse_us=4608
EDGE=RISE gap_us=13200
EDGE=FALL pulse_us=8432
EDGE=RISE gap_us=6864
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8576
EDGE=FALL pulse_us=32592
EDGE=RISE gap_us=2816
EDGE=FALL pulse_us=5840
EDGE=RISE gap_us=17296
EDGE=FALL pulse_us=4784
EDGE=RISE gap_us=6368
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=9600
EDGE=FALL pulse_us=32016
EDGE=RISE gap_us=3184
EDGE=FALL pulse_us=4752
EDGE=RISE gap_us=18288
EDGE=FALL pulse_us=4384
EDGE=RISE gap_us=6880
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=8304
EDGE=FALL pulse_us=31984
EDGE=RISE gap_us=3392
EDGE=FALL pulse_us=5040
EDGE=RISE gap_us=12160
EDGE=FALL pulse_us=3520
EDGE=RISE gap_us=2336
EDGE=FALL pulse_us=3488
EDGE=RISE gap_us=7008
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=9952
EDGE=FALL pulse_us=31952
EDGE=RISE gap_us=3568
EDGE=FALL pulse_us=4464
EDGE=RISE gap_us=17856
EDGE=FALL pulse_us=4384
EDGE=RISE gap_us=6336
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=10208
EDGE=FALL pulse_us=30704
EDGE=RISE gap_us=2864
EDGE=FALL pulse_us=3712
EDGE=RISE gap_us=19344
EDGE=FALL pulse_us=5824
EDGE=RISE gap_us=5920
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=9008
EDGE=FALL pulse_us=33152
EDGE=RISE gap_us=2576
EDGE=FALL pulse_us=3312
EDGE=RISE gap_us=15248
EDGE=FALL pulse_us=9520
EDGE=RISE gap_us=7168
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=7712
EDGE=FALL pulse_us=43536
EDGE=RISE gap_us=12528
EDGE=FALL pulse_us=8864
EDGE=RISE gap_us=6464
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=6032
EDGE=FALL pulse_us=45552
EDGE=RISE gap_us=17024
EDGE=FALL pulse_us=4272
EDGE=RISE gap_us=7728
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8048
EDGE=FALL pulse_us=33216
EDGE=RISE gap_us=3792
EDGE=FALL pulse_us=4864
EDGE=RISE gap_us=13792
EDGE=FALL pulse_us=8720
EDGE=RISE gap_us=6528
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=9344
EDGE=FALL pulse_us=33456
EDGE=RISE gap_us=2096
EDGE=FALL pulse_us=6096
EDGE=RISE gap_us=13264
EDGE=FALL pulse_us=8256
EDGE=RISE gap_us=6608
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=6192
EDGE=FALL pulse_us=35456
EDGE=RISE gap_us=2912
EDGE=FALL pulse_us=6272
EDGE=RISE gap_us=15440
EDGE=FALL pulse_us=6320
EDGE=RISE gap_us=6560
EDGE=FALL pulse_us=68880
EDGE=RISE gap_us=480
