[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] cyl=2 seq=1 ev=SKIP      val_us=19019888 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=19021600 refBig_us=0
[COM13] cyl=3 seq=1 ev=SKIP      val_us=19022080 refBig_us=0
[COM11] cyl=1 seq=2 ev=SKIP      val_us=3296 refBig_us=3296
[COM13] cyl=3 seq=2 ev=SKIP      val_us=5584 refBig_us=5584
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=19029872 refBig_us=4112
[COM13] cyl=3 seq=3 ev=REJECTED  val_us=19036736 refBig_us=6976
[COM13] cyl=3 seq=4 ev=SYNCCAND  val_us=16928 refBig_us=8720
[COM11] cyl=1 seq=4 ev=SYNCCAND  val_us=40592 refBig_us=5136
[COM11] cyl=1 seq=5 ev=SYNCCAND  val_us=7968 refBig_us=6416
[COM11] cyl=1 seq=6 ev=SYNCCAND  val_us=20608 refBig_us=8016
[COM12] cyl=2 seq=2 ev=SKIP      val_us=84816 refBig_us=84816
[COM11] cyl=1 seq=7 ev=SYNCFIRST val_us=19760 refBig_us=10016
[COM13] cyl=3 seq=5 ev=SYNCCAND  val_us=85328 refBig_us=10896
[COM12] cyl=2 seq=3 ev=SKIP      val_us=45936 refBig_us=83504
[COM13] cyl=3 seq=6 ev=SYNCCAND  val_us=14592 refBig_us=13616
[COM13] cyl=3 seq=7 ev=SKIP      val_us=9776 refBig_us=13408
[COM12] cyl=2 seq=4 ev=SKIP      val_us=30688 refBig_us=82208
[COM11] cyl=1 seq=8 ev=RELOCK    val_us=96816 refBig_us=12512
[COM13] cyl=3 seq=8 ev=SYNCCAND  val_us=78768 refBig_us=16752
[COM11] cyl=1 seq=9 ev=SYNCCAND  val_us=36336 refBig_us=15632
[COM12] cyl=2 seq=5 ev=REJECTED  val_us=19273104 refBig_us=91776
[COM11] cyl=1 seq=10 ev=SYNCCAND  val_us=23168 refBig_us=19536
[COM11] cyl=1 seq=11 ev=SKIP      val_us=9904 refBig_us=19232
[COM13] cyl=3 seq=9 ev=SYNCFIRST val_us=85728 refBig_us=20928
[COM13] cyl=3 seq=10 ev=SKIP      val_us=5616 refBig_us=20608
[COM13] cyl=3 seq=11 ev=SKIP      val_us=4512 refBig_us=20288
[COM13] cyl=3 seq=12 ev=SKIP      val_us=5104 refBig_us=19984
[COM12] cyl=2 seq=6 ev=SKIP      val_us=67488 refBig_us=90352
[COM11] cyl=1 seq=12 ev=SYNCCAND  val_us=99344 refBig_us=24032
[COM13] cyl=3 seq=13 ev=FIRED     val_us=74208 refBig_us=24976 period_us=85360 rpm=702 resid_us=-11520 edgeToSpark_us=74688
[COM11] cyl=1 seq=13 ev=SYNCCAND  val_us=37072 refBig_us=30032
[COM11] cyl=1 seq=14 ev=SKIP      val_us=19504 refBig_us=29568
[COM12] cyl=2 seq=7 ev=SYNCCAND  val_us=161648 refBig_us=94160
[COM12] cyl=2 seq=8 ev=SKIP      val_us=4688 refBig_us=92704
[COM11] cyl=1 seq=15 ev=SKIP      val_us=12864 refBig_us=29120
[COM12] cyl=2 seq=9 ev=SKIP      val_us=28096 refBig_us=91264
[COM13] cyl=3 seq=14 ev=FIRED     val_us=78544 refBig_us=31216 period_us=85136 rpm=704 resid_us=-6816 edgeToSpark_us=74480
[COM12] cyl=2 seq=10 ev=SKIP      val_us=32304 refBig_us=89840
