[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM11] cyl=1 seq=25 ev=FIRED     val_us=155904 refBig_us=88720 period_us=155296 rpm=386 resid_us=624 edgeToSpark_us=140192
[COM13] cyl=3 seq=30 ev=SYNCCAND  val_us=71728 refBig_us=67936
[COM11] cyl=1 seq=26 ev=EARLY     val_us=58656 refBig_us=87344
[COM12] cyl=2 seq=20 ev=FIRED     val_us=188464 refBig_us=97552 period_us=89184 rpm=672 resid_us=10768 edgeToSpark_us=79824
[COM11] cyl=1 seq=27 ev=SKIP      val_us=10160 refBig_us=85984
[COM13] cyl=3 seq=31 ev=SYNCFIRST val_us=88512 refBig_us=84912
[COM12] cyl=2 seq=21 ev=FIRED     val_us=68880 refBig_us=96032 period_us=88544 rpm=677 resid_us=-20304 edgeToSpark_us=77472
[COM11] cyl=1 seq=28 ev=FIRED     val_us=156864 refBig_us=88048 period_us=155344 rpm=386 resid_us=1568 edgeToSpark_us=140240
[COM13] cyl=3 seq=32 ev=FIRED     val_us=66624 refBig_us=83600 period_us=87824 rpm=683 resid_us=-21888 edgeToSpark_us=76832
[COM11] cyl=1 seq=29 ev=SKIP      val_us=37152 refBig_us=86688
[COM11] cyl=1 seq=30 ev=SKIP      val_us=21200 refBig_us=85344
[COM12] cyl=2 seq=22 ev=FIRED     val_us=78496 refBig_us=96256 period_us=88224 rpm=680 resid_us=-10048 edgeToSpark_us=77184
[COM11] cyl=1 seq=31 ev=SKIP      val_us=12288 refBig_us=84016
[COM12] cyl=2 seq=23 ev=SKIP      val_us=36288 refBig_us=94752
[COM13] cyl=3 seq=33 ev=FIRED     val_us=68864 refBig_us=88016 period_us=87216 rpm=687 resid_us=-18960 edgeToSpark_us=76304
[COM13] cyl=3 seq=34 ev=SKIP      val_us=6016 refBig_us=86656
[COM12] cyl=2 seq=24 ev=SKIP      val_us=27488 refBig_us=93280
[COM13] cyl=3 seq=35 ev=EARLY     val_us=43008 refBig_us=85312
[COM13] cyl=3 seq=36 ev=SKIP      val_us=9824 refBig_us=83984
[COM11] cyl=1 seq=32 ev=FIRED     val_us=196144 refBig_us=105008 period_us=156608 rpm=383 resid_us=40800 edgeToSpark_us=166176
[COM11] cyl=1 seq=33 ev=SKIP      val_us=22064 refBig_us=103376
[COM12] cyl=2 seq=25 ev=FIRED     val_us=147008 refBig_us=91824 period_us=87296 rpm=687 resid_us=-29440 edgeToSpark_us=76384
[COM11] cyl=1 seq=34 ev=SKIP      val_us=9824 refBig_us=101776
[COM12] cyl=2 seq=26 ev=SKIP      val_us=38864 refBig_us=90400
[COM13] cyl=3 seq=37 ev=FIRED     val_us=137840 refBig_us=85008 period_us=86064 rpm=697 resid_us=-36592 edgeToSpark_us=75296
[COM13] cyl=3 seq=38 ev=SKIP      val_us=7152 refBig_us=83680
[COM12] cyl=2 seq=27 ev=SKIP      val_us=25888 refBig_us=88992
[COM11] cyl=1 seq=35 ev=FIRED     val_us=159264 refBig_us=100192 period_us=156688 rpm=382 resid_us=2656 edgeToSpark_us=141440
[COM13] cyl=3 seq=39 ev=EARLY     val_us=31520 refBig_us=82384
[COM13] cyl=3 seq=40 ev=SKIP      val_us=12464 refBig_us=81104
[COM11] cyl=1 seq=36 ev=SKIP      val_us=34432 refBig_us=98640
[COM11] cyl=1 seq=37 ev=SKIP      val_us=20240 refBig_us=97104
[COM12] cyl=2 seq=28 ev=FIRED     val_us=132784 refBig_us=93792 period_us=85984 rpm=697 resid_us=-41808 edgeToSpark_us=75232
[COM11] cyl=1 seq=38 ev=SKIP      val_us=11904 refBig_us=95600
[COM12] cyl=2 seq=29 ev=EARLY     val_us=26800 refBig_us=92336
[COM13] cyl=3 seq=41 ev=FIRED     val_us=142432 refBig_us=98448 period_us=85136 rpm=704 resid_us=-29696 edgeToSpark_us=74480
[COM13] cyl=3 seq=42 ev=SKIP      val_us=47312 refBig_us=96912
[COM11] cyl=1 seq=39 ev=FIRED     val_us=161312 refBig_us=94112 period_us=156832 rpm=382 resid_us=4624 edgeToSpark_us=141584
[COM13] cyl=3 seq=43 ev=SKIP      val_us=9264 refBig_us=95408
[COM11] cyl=1 seq=40 ev=SKIP      val_us=32064 refBig_us=92656
[COM11] cyl=1 seq=41 ev=SKIP      val_us=24160 refBig_us=91216
[COM12] cyl=2 seq=30 ev=FIRED     val_us=119376 refBig_us=92576 period_us=87024 rpm=689 resid_us=33392 edgeToSpark_us=101136
[COM11] cyl=1 seq=42 ev=SKIP      val_us=9120 refBig_us=89792
[COM13] cyl=3 seq=44 ev=FIRED     val_us=116288 refBig_us=93920 period_us=86096 rpm=696 resid_us=31152 edgeToSpark_us=98512
[COM13] cyl=3 seq=45 ev=SKIP      val_us=6688 refBig_us=92464
[COM12] cyl=2 seq=31 ev=FIRED     val_us=97200 refBig_us=91136 period_us=87328 rpm=687 resid_us=10176 edgeToSpark_us=82336
[COM11] cyl=1 seq=43 ev=FIRED     val_us=162352 refBig_us=92960 period_us=156992 rpm=382 resid_us=5520 edgeToSpark_us=141728
[COM13] cyl=3 seq=46 ev=FIRED     val_us=90416 refBig_us=91024 period_us=86224 rpm=695 resid_us=4320 edgeToSpark_us=76592
[COM13] cyl=3 seq=47 ev=SKIP      val_us=12416 refBig_us=89616
[COM11] cyl=1 seq=44 ev=SKIP      val_us=34720 refBig_us=91520
[COM11] cyl=1 seq=45 ev=SKIP      val_us=17296 refBig_us=90096
[COM12] cyl=2 seq=32 ev=FIRED     val_us=100000 refBig_us=89712 period_us=87712 rpm=684 resid_us=12672 edgeToSpark_us=84720
[COM11] cyl=1 seq=46 ev=SKIP      val_us=14368 refBig_us=88704
