one_cyl_ignition DEBUG build
one_cyl_ignition DEBUG build
WATCHDOG: STALL gap_us=3000008
seq=100 ev=BLANKED   interval_us=10480 blank_us=30064
seq=101 ev=SYNCCAND  interval_us=96368 blank_us=30064
seq=102 ev=SYNCCAND  interval_us=57328 blank_us=48176
seq=103 ev=BLANKED   interval_us=13056 blank_us=28656
seq=104 ev=SYNCCAND  interval_us=99280 blank_us=28656
seq=105 ev=BLANKED   interval_us=37904 blank_us=49632
seq=106 ev=SYNCCAND  interval_us=55072 blank_us=49632
seq=107 ev=BLANKED   interval_us=5200 blank_us=27536
seq=108 ev=BLANKED   interval_us=16752 blank_us=27536
seq=109 ev=SYNCCAND  interval_us=103104 blank_us=27536
seq=110 ev=BLANKED   interval_us=38016 blank_us=51552
seq=111 ev=SYNCCAND  interval_us=60336 blank_us=51552
seq=112 ev=BLANKED   interval_us=11664 blank_us=30160
seq=113 ev=SYNCCAND  interval_us=99968 blank_us=30160
seq=114 ev=BLANKED   interval_us=34048 blank_us=49984
seq=115 ev=SYNCCAND  interval_us=57536 blank_us=49984
seq=116 ev=BLANKED   interval_us=9136 blank_us=28768
seq=117 ev=SYNCCAND  interval_us=100048 blank_us=28768
seq=118 ev=BLANKED   interval_us=33408 blank_us=50016
seq=119 ev=SYNCCAND  interval_us=55472 blank_us=50016
seq=120 ev=BLANKED   interval_us=10624 blank_us=27728
seq=121 ev=SYNCCAND  interval_us=102672 blank_us=27728
seq=122 ev=SYNCCAND  interval_us=55664 blank_us=51328
seq=123 ev=BLANKED   interval_us=10048 blank_us=27824
seq=124 ev=SYNCCAND  interval_us=97984 blank_us=27824
seq=125 ev=BLANKED   interval_us=35072 blank_us=48992
seq=126 ev=SYNCCAND  interval_us=55904 blank_us=48992
seq=127 ev=BLANKED   interval_us=11984 blank_us=27952
seq=128 ev=SYNCCAND  interval_us=103552 blank_us=27952
seq=129 ev=BLANKED   interval_us=31888 blank_us=51776
seq=130 ev=SYNCCAND  interval_us=55248 blank_us=51776
seq=131 ev=BLANKED   interval_us=11440 blank_us=27616
seq=132 ev=SYNCCAND  interval_us=134208 blank_us=27616
seq=133 ev=BLANKED   interval_us=18592 blank_us=67104
seq=134 ev=BLANKED   interval_us=34048 blank_us=67104
seq=135 ev=SYNCFIRST interval_us=176928 blank_us=67104
seq=136 ev=BLANKED   interval_us=12400 blank_us=88464
seq=137 ev=FIRED     interval_us=157184 blank_us=88464 period_us=157184 rpm=381 edgeToSpark_us=137536
