---- summary ----
edges=994 dropped=0
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=3936
EDGE=FALL pulse_us=35552
EDGE=RISE gap_us=1968
EDGE=FALL pulse_us=3936
EDGE=RISE gap_us=17360
EDGE=FALL pulse_us=6496
EDGE=RISE gap_us=5776
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=6048
EDGE=FALL pulse_us=33184
EDGE=RISE gap_us=3344
EDGE=FALL pulse_us=4624
EDGE=RISE gap_us=14624
EDGE=FALL pulse_us=6736
EDGE=RISE gap_us=6288
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8320
EDGE=FALL pulse_us=31472
EDGE=RISE gap_us=3328
EDGE=FALL pulse_us=5392
EDGE=RISE gap_us=13200
EDGE=FALL pulse_us=8480
EDGE=RISE gap_us=6032
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8096
EDGE=FALL pulse_us=31072
EDGE=RISE gap_us=2512
EDGE=FALL pulse_us=2976
EDGE=RISE gap_us=16416
EDGE=FALL pulse_us=8384
EDGE=RISE gap_us=6272
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=4736
EDGE=FALL pulse_us=34288
EDGE=RISE gap_us=3344
EDGE=FALL pulse_us=4304
EDGE=RISE gap_us=14704
EDGE=FALL pulse_us=3584
EDGE=RISE gap_us=1280
EDGE=FALL pulse_us=3504
EDGE=RISE gap_us=7792
EDGE=FALL pulse_us=85152
EDGE=RISE gap_us=3824
EDGE=FALL pulse_us=32672
EDGE=RISE gap_us=2320
EDGE=FALL pulse_us=6896
EDGE=RISE gap_us=12784
EDGE=FALL pulse_us=8144
EDGE=RISE gap_us=6144
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=4464
EDGE=FALL pulse_us=35184
EDGE=RISE gap_us=1984
EDGE=FALL pulse_us=6320
EDGE=RISE gap_us=16784
EDGE=FALL pulse_us=4112
EDGE=RISE gap_us=6976
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=5744
EDGE=FALL pulse_us=32016
EDGE=RISE gap_us=2720
EDGE=FALL pulse_us=6512
EDGE=RISE gap_us=16800
EDGE=FALL pulse_us=3824
EDGE=RISE gap_us=6432
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=7280
EDGE=FALL pulse_us=31984
EDGE=RISE gap_us=4496
EDGE=FALL pulse_us=3472
EDGE=RISE gap_us=17584
EDGE=FALL pulse_us=4304
EDGE=RISE gap_us=6000
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=3536
EDGE=FALL pulse_us=35504
EDGE=RISE gap_us=3136
EDGE=FALL pulse_us=5664
EDGE=RISE gap_us=14272
EDGE=FALL pulse_us=7568
EDGE=RISE gap_us=6320
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7440
EDGE=FALL pulse_us=31168
EDGE=RISE gap_us=3520
EDGE=FALL pulse_us=4160
EDGE=RISE gap_us=18016
EDGE=FALL pulse_us=4976
EDGE=RISE gap_us=6208
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=9056
EDGE=FALL pulse_us=30880
EDGE=RISE gap_us=4336
EDGE=FALL pulse_us=4912
EDGE=RISE gap_us=17440
EDGE=FALL pulse_us=3424
EDGE=RISE gap_us=6416
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=6048
EDGE=FALL pulse_us=32672
EDGE=RISE gap_us=3056
