[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM13] cyl=3 seq=23 ev=SKIP      val_us=5264 refBig_us=86416
[COM12] cyl=2 seq=26 ev=EARLY     val_us=64608 refBig_us=88496
[COM13] cyl=3 seq=24 ev=SKIP      val_us=32720 refBig_us=85072
[COM11] cyl=1 seq=24 ev=FIRED     val_us=162784 refBig_us=90976 period_us=158128 rpm=379 resid_us=4800 edgeToSpark_us=142752
[COM13] cyl=3 seq=25 ev=SKIP      val_us=23616 refBig_us=83744
[COM13] cyl=3 seq=26 ev=SKIP      val_us=9808 refBig_us=82448
[COM11] cyl=1 seq=25 ev=SKIP      val_us=52352 refBig_us=89568
[COM11] cyl=1 seq=26 ev=SKIP      val_us=5040 refBig_us=88176
[COM12] cyl=2 seq=27 ev=FIRED     val_us=164064 refBig_us=99456 period_us=159936 rpm=375 resid_us=4256 edgeToSpark_us=144384
[COM11] cyl=1 seq=27 ev=SKIP      val_us=11488 refBig_us=86800
[COM13] cyl=3 seq=27 ev=FIRED     val_us=159120 refBig_us=85872 period_us=90352 rpm=664 resid_us=-23056 edgeToSpark_us=79056
[COM13] cyl=3 seq=28 ev=SKIP      val_us=9312 refBig_us=84544
[COM13] cyl=3 seq=29 ev=SKIP      val_us=6224 refBig_us=83232
[COM12] cyl=2 seq=28 ev=EARLY     val_us=63680 refBig_us=97904
[COM11] cyl=1 seq=28 ev=FIRED     val_us=163392 refBig_us=90304 period_us=158288 rpm=379 resid_us=5264 edgeToSpark_us=142896
[COM13] cyl=3 seq=30 ev=SKIP      val_us=48752 refBig_us=81936
[COM13] cyl=3 seq=31 ev=SKIP      val_us=9328 refBig_us=80656
[COM11] cyl=1 seq=29 ev=SKIP      val_us=35504 refBig_us=88896
[COM11] cyl=1 seq=30 ev=SKIP      val_us=22448 refBig_us=87520
[COM12] cyl=2 seq=29 ev=FIRED     val_us=157792 refBig_us=96384 period_us=159856 rpm=375 resid_us=-2144 edgeToSpark_us=144304
[COM12] cyl=2 seq=30 ev=SKIP      val_us=6912 refBig_us=94880
[COM11] cyl=1 seq=31 ev=SKIP      val_us=10496 refBig_us=86160
[COM12] cyl=2 seq=31 ev=SKIP      val_us=43936 refBig_us=93408
[COM12] cyl=2 seq=32 ev=SKIP      val_us=2944 refBig_us=91952
[COM13] cyl=3 seq=32 ev=FIRED     val_us=145536 refBig_us=92080 period_us=89248 rpm=672 resid_us=-35168 edgeToSpark_us=78080
[COM12] cyl=2 seq=33 ev=SKIP      val_us=12064 refBig_us=90528
[COM11] cyl=1 seq=32 ev=FIRED     val_us=163888 refBig_us=90832 period_us=158448 rpm=378 resid_us=5600 edgeToSpark_us=143040
