[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] cyl=1 seq=21 ev=SYNCCAND  val_us=34768 refBig_us=42032
[COM11] cyl=1 seq=22 ev=SKIP      val_us=18400 refBig_us=41376
[COM12] cyl=2 seq=27 ev=SYNCCAND  val_us=158816 refBig_us=73120
[COM11] cyl=1 seq=23 ev=SKIP      val_us=14416 refBig_us=40736
[COM13] cyl=3 seq=29 ev=SYNCCAND  val_us=101856 refBig_us=70816
[COM13] cyl=3 seq=30 ev=SKIP      val_us=9312 refBig_us=69712
[COM12] cyl=2 seq=28 ev=SYNCCAND  val_us=63616 refBig_us=71984
[COM11] cyl=1 seq=24 ev=SYNCCAND  val_us=120400 refBig_us=50912
[COM13] cyl=3 seq=31 ev=SYNCCAND  val_us=67584 refBig_us=68624
[COM11] cyl=1 seq=25 ev=SYNCCAND  val_us=59920 refBig_us=59920
[COM12] cyl=2 seq=29 ev=SYNCCAND  val_us=94752 refBig_us=89968
[COM11] cyl=1 seq=26 ev=SKIP      val_us=10784 refBig_us=58992
[COM13] cyl=3 seq=32 ev=SYNCFIRST val_us=89440 refBig_us=85776
[COM13] cyl=3 seq=33 ev=SKIP      val_us=4192 refBig_us=84448
[COM12] cyl=2 seq=30 ev=SKIP      val_us=66336 refBig_us=88576
[COM11] cyl=1 seq=27 ev=SYNCCAND  val_us=102240 refBig_us=73728
[COM13] cyl=3 seq=34 ev=SKIP      val_us=54304 refBig_us=83136
[COM13] cyl=3 seq=35 ev=SKIP      val_us=12096 refBig_us=81840
[COM11] cyl=1 seq=28 ev=SKIP      val_us=34576 refBig_us=72576
[COM12] cyl=2 seq=31 ev=SYNCCAND  val_us=155472 refBig_us=89136
[COM11] cyl=1 seq=29 ev=SKIP      val_us=21408 refBig_us=71456
[COM12] cyl=2 seq=32 ev=SKIP      val_us=4432 refBig_us=87744
[COM11] cyl=1 seq=30 ev=SKIP      val_us=12000 refBig_us=70352
[COM13] cyl=3 seq=36 ev=FIRED     val_us=159760 refBig_us=89168 period_us=88832 rpm=675 resid_us=-19120 edgeToSpark_us=77728
[COM12] cyl=2 seq=33 ev=SKIP      val_us=63680 refBig_us=86384
[COM11] cyl=1 seq=31 ev=SYNCCAND  val_us=156880 refBig_us=87936
[COM13] cyl=3 seq=37 ev=SKIP      val_us=57952 refBig_us=87776
[COM13] cyl=3 seq=38 ev=SKIP      val_us=9024 refBig_us=86416
[COM11] cyl=1 seq=32 ev=SKIP      val_us=37760 refBig_us=86576
[COM12] cyl=2 seq=34 ev=SYNCFIRST val_us=162608 refBig_us=94496
[COM11] cyl=1 seq=33 ev=SKIP      val_us=22416 refBig_us=85232
[COM11] cyl=1 seq=34 ev=SKIP      val_us=9920 refBig_us=83904
[COM12] cyl=2 seq=35 ev=SKIP      val_us=38928 refBig_us=93024
