one_cyl_ignition LANDMARK-PLL experiment build
one_cyl_ignition LANDMARK-PLL experiment build
WATCHDOG: STALL gap_us=3000012
seq=82 ev=SKIP      val_us=10928 refBig_us=121664
seq=83 ev=FIRED     val_us=133072 refBig_us=119776 period_us=152784 rpm=392 resid_us=-20352 edgeToSpark_us=133680
seq=84 ev=SKIP      val_us=33840 refBig_us=117920
seq=85 ev=SKIP      val_us=20032 refBig_us=116080
seq=86 ev=SKIP      val_us=11776 refBig_us=114272
WATCHDOG: MAX_DWELL exceeded, forced coil LOW
seq=87 ev=FIRED     val_us=169216 refBig_us=121376 period_us=153296 rpm=391 resid_us=16432 edgeToSpark_us=134128
seq=88 ev=SKIP      val_us=22176 refBig_us=119488
seq=89 ev=SKIP      val_us=10752 refBig_us=117632
seq=90 ev=FIRED     val_us=132784 refBig_us=115808 period_us=152640 rpm=393 resid_us=-20512 edgeToSpark_us=133552
seq=91 ev=SKIP      val_us=37632 refBig_us=114000
seq=92 ev=SKIP      val_us=18656 refBig_us=112224
seq=93 ev=SKIP      val_us=13984 refBig_us=110480
WATCHDOG: MAX_DWELL exceeded, forced coil LOW
seq=94 ev=FIRED     val_us=142336 refBig_us=108768 period_us=152304 rpm=393 resid_us=-10304 edgeToSpark_us=133264
seq=95 ev=SKIP      val_us=55856 refBig_us=107072
seq=96 ev=SKIP      val_us=9696 refBig_us=105408
seq=97 ev=FIRED     val_us=144304 refBig_us=103776 period_us=152048 rpm=394 resid_us=-8000 edgeToSpark_us=133040
seq=98 ev=SKIP      val_us=36640 refBig_us=102160
seq=99 ev=SKIP      val_us=21904 refBig_us=100576
seq=100 ev=SKIP      val_us=9616 refBig_us=99008
seq=101 ev=FIRED     val_us=184256 refBig_us=123088 period_us=153040 rpm=392 resid_us=32208 edgeToSpark_us=133904
seq=102 ev=SKIP      val_us=22512 refBig_us=121168
seq=103 ev=SKIP      val_us=9792 refBig_us=119280
seq=104 ev=FIRED     val_us=204208 refBig_us=143712 period_us=154624 rpm=388 resid_us=51168 edgeToSpark_us=135296
seq=105 ev=SKIP      val_us=12608 refBig_us=141472
seq=106 ev=FIRED     val_us=144384 refBig_us=139264 period_us=154304 rpm=388 resid_us=-10240 edgeToSpark_us=135008
seq=107 ev=SKIP      val_us=35056 refBig_us=137088
seq=108 ev=SKIP      val_us=17168 refBig_us=134960
seq=109 ev=SKIP      val_us=3808 refBig_us=132864
seq=110 ev=SKIP      val_us=12400 refBig_us=130800
seq=111 ev=FIRED     val_us=182624 refBig_us=128768 period_us=155184 rpm=386 resid_us=28320 edgeToSpark_us=135776
seq=112 ev=SKIP      val_us=17136 refBig_us=126768
seq=113 ev=SKIP      val_us=14784 refBig_us=124800
seq=114 ev=FIRED     val_us=179232 refBig_us=122864 period_us=155920 rpm=384 resid_us=24048 edgeToSpark_us=136416
seq=115 ev=SKIP      val_us=18976 refBig_us=120960
