=== CAPTURE OPEN - crank now ===
WATCHDOG: STALL gap_us=3000012
seq=86 ev=SKIP      val_us=14128 refBig_us=90928
seq=87 ev=FIRED     val_us=169328 refBig_us=94192 period_us=161488 rpm=371 resid_us=8080 edgeToSpark_us=145776
seq=88 ev=SKIP      val_us=4928 refBig_us=92736
seq=89 ev=EARLY     val_us=75792 refBig_us=91296
seq=90 ev=FIRED     val_us=167872 refBig_us=92080 period_us=161680 rpm=371 resid_us=6384 edgeToSpark_us=145952
seq=91 ev=SKIP      val_us=6400 refBig_us=90656
seq=92 ev=SKIP      val_us=32336 refBig_us=89248
seq=93 ev=SKIP      val_us=27744 refBig_us=87856
seq=94 ev=FIRED     val_us=168000 refBig_us=95920 period_us=161872 rpm=370 resid_us=6320 edgeToSpark_us=146128
seq=95 ev=SKIP      val_us=5120 refBig_us=94432
seq=96 ev=SKIP      val_us=33424 refBig_us=92960
seq=97 ev=SKIP      val_us=4064 refBig_us=91520
seq=98 ev=SKIP      val_us=23648 refBig_us=90096
seq=99 ev=FIRED     val_us=165536 refBig_us=93744 period_us=161984 rpm=370 resid_us=3664 edgeToSpark_us=146224
seq=100 ev=SKIP      val_us=39648 refBig_us=92288
seq=101 ev=SKIP      val_us=27600 refBig_us=90848
seq=102 ev=FIRED     val_us=167120 refBig_us=96656 period_us=162144 rpm=370 resid_us=5136 edgeToSpark_us=146368
seq=103 ev=EARLY     val_us=73968 refBig_us=95152
seq=104 ev=FIRED     val_us=168368 refBig_us=93680 period_us=162336 rpm=369 resid_us=6224 edgeToSpark_us=146544
seq=105 ev=SKIP      val_us=53408 refBig_us=92224
seq=106 ev=SKIP      val_us=12592 refBig_us=90784
seq=107 ev=FIRED     val_us=166480 refBig_us=95024 period_us=162464 rpm=369 resid_us=4144 edgeToSpark_us=146656
seq=108 ev=EARLY     val_us=68448 refBig_us=93552
seq=109 ev=FIRED     val_us=164976 refBig_us=96528 period_us=162528 rpm=369 resid_us=2512 edgeToSpark_us=146720
seq=110 ev=SKIP      val_us=52016 refBig_us=95024
seq=111 ev=SKIP      val_us=14144 refBig_us=93552
seq=112 ev=FIRED     val_us=164720 refBig_us=96352 period_us=162592 rpm=369 resid_us=2192 edgeToSpark_us=146784
seq=113 ev=SKIP      val_us=5232 refBig_us=94848
seq=114 ev=SKIP      val_us=31648 refBig_us=93376
seq=115 ev=SKIP      val_us=29632 refBig_us=91920
seq=116 ev=FIRED     val_us=162480 refBig_us=94048 period_us=162576 rpm=369 resid_us=-112 edgeToSpark_us=146768
seq=117 ev=SKIP      val_us=6656 refBig_us=92592
seq=118 ev=SKIP      val_us=32512 refBig_us=91152
seq=119 ev=SKIP      val_us=28912 refBig_us=89728
seq=120 ev=FIRED     val_us=163264 refBig_us=95280 period_us=162592 rpm=369 resid_us=688 edgeToSpark_us=146784
seq=121 ev=SKIP      val_us=45488 refBig_us=93792
seq=122 ev=SKIP      val_us=19696 refBig_us=92336
seq=123 ev=FIRED     val_us=165200 refBig_us=99408 period_us=162672 rpm=368 resid_us=2608 edgeToSpark_us=146848
seq=124 ev=SKIP      val_us=36912 refBig_us=97856
seq=125 ev=SKIP      val_us=26784 refBig_us=96336
seq=126 ev=FIRED     val_us=162240 refBig_us=94832 period_us=162656 rpm=368 resid_us=-432 edgeToSpark_us=146832
seq=127 ev=SKIP      val_us=38960 refBig_us=93360
seq=128 ev=SKIP      val_us=4256 refBig_us=91904
seq=129 ev=SKIP      val_us=21872 refBig_us=90480
seq=130 ev=FIRED     val_us=181136 refBig_us=113088 period_us=163232 rpm=367 resid_us=18480 edgeToSpark_us=153456
seq=131 ev=EARLY     val_us=95584 refBig_us=111328
seq=132 ev=SKIP      val_us=14464 refBig_us=109600
WATCHDOG: STALL gap_us=3000012
=== CLOSED ===
