[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM11] cyl=1 seq=25 ev=IMPLAUS   val_us=58400 refBig_us=58400
[COM12] cyl=2 seq=22 ev=SKIP      val_us=4736 refBig_us=61632
[COM11] cyl=1 seq=26 ev=SKIP      val_us=11392 refBig_us=57488
[COM12] cyl=2 seq=23 ev=SKIP      val_us=32080 refBig_us=60672
[COM13] cyl=3 seq=37 ev=SYNCCAND  val_us=155152 refBig_us=71200
[COM13] cyl=3 seq=38 ev=SKIP      val_us=12832 refBig_us=70096
[COM12] cyl=2 seq=24 ev=SKIP      val_us=27472 refBig_us=59728
[COM13] cyl=3 seq=39 ev=SKIP      val_us=22896 refBig_us=69008
[COM11] cyl=1 seq=27 ev=SYNCCAND  val_us=101456 refBig_us=71856
[COM13] cyl=3 seq=40 ev=SKIP      val_us=25312 refBig_us=67936
[COM13] cyl=3 seq=41 ev=SKIP      val_us=9696 refBig_us=66880
[COM11] cyl=1 seq=28 ev=SKIP      val_us=34000 refBig_us=70736
[COM12] cyl=2 seq=25 ev=SYNCCAND  val_us=157984 refBig_us=74656
[COM11] cyl=1 seq=29 ev=SKIP      val_us=23392 refBig_us=69632
[COM12] cyl=2 seq=26 ev=SKIP      val_us=7216 refBig_us=73504
[COM11] cyl=1 seq=30 ev=SKIP      val_us=11216 refBig_us=68544
[COM13] cyl=3 seq=42 ev=SYNCFIRST val_us=159744 refBig_us=83600
[COM13] cyl=3 seq=43 ev=SKIP      val_us=6288 refBig_us=82304
[COM12] cyl=2 seq=27 ev=IMPLAUS   val_us=68224 refBig_us=72368
[COM13] cyl=3 seq=44 ev=SKIP      val_us=28800 refBig_us=81024
[COM11] cyl=1 seq=31 ev=SYNCCAND  val_us=159728 refBig_us=85680
[COM13] cyl=3 seq=45 ev=SKIP      val_us=25648 refBig_us=79760
[COM13] cyl=3 seq=46 ev=SKIP      val_us=9616 refBig_us=78528
[COM11] cyl=1 seq=32 ev=SKIP      val_us=34400 refBig_us=84352
[COM11] cyl=1 seq=33 ev=SKIP      val_us=18800 refBig_us=83040
[COM12] cyl=2 seq=28 ev=IMPLAUS   val_us=98704 refBig_us=90448
[COM11] cyl=1 seq=34 ev=SKIP      val_us=16144 refBig_us=81744
[COM12] cyl=2 seq=29 ev=SKIP      val_us=46352 refBig_us=89040
[COM13] cyl=3 seq=47 ev=FIRED     val_us=161440 refBig_us=91088 period_us=159792 rpm=375 resid_us=1696 edgeToSpark_us=144256
[COM13] cyl=3 seq=48 ev=SKIP      val_us=10928 refBig_us=89680
[COM12] cyl=2 seq=30 ev=SKIP      val_us=11984 refBig_us=87664
[COM11] cyl=1 seq=35 ev=SYNCFIRST val_us=154976 refBig_us=85632
[COM13] cyl=3 seq=49 ev=SKIP      val_us=59600 refBig_us=88288
[COM11] cyl=1 seq=36 ev=SKIP      val_us=38768 refBig_us=84304
