one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=80 ev=FIRED     val_us=140768 refBig_us=87184 period_us=133760 rpm=448 resid_us=7232 edgeToSpark_us=117040
seq=81 ev=SKIP      val_us=41728 refBig_us=85824
seq=82 ev=SKIP      val_us=8368 refBig_us=84496
seq=83 ev=FIRED     val_us=185216 refBig_us=105616 period_us=135360 rpm=443 resid_us=51456 edgeToSpark_us=118432
seq=84 ev=SKIP      val_us=7888 refBig_us=103968
seq=85 ev=FIRED     val_us=139088 refBig_us=102352 period_us=135472 rpm=442 resid_us=3728 edgeToSpark_us=118528
seq=86 ev=SKIP      val_us=3424 refBig_us=100768
seq=87 ev=SKIP      val_us=37840 refBig_us=99200
seq=88 ev=SKIP      val_us=11056 refBig_us=97664
seq=89 ev=FIRED     val_us=144464 refBig_us=96144 period_us=135744 rpm=442 resid_us=8992 edgeToSpark_us=118768
seq=90 ev=SKIP      val_us=40672 refBig_us=94656
seq=91 ev=SKIP      val_us=8176 refBig_us=93184
seq=92 ev=FIRED     val_us=141616 refBig_us=91728 period_us=135920 rpm=441 resid_us=5872 edgeToSpark_us=118928
seq=93 ev=SKIP      val_us=4096 refBig_us=90304
seq=94 ev=SKIP      val_us=40800 refBig_us=88896
seq=95 ev=SKIP      val_us=8112 refBig_us=87520
seq=96 ev=FIRED     val_us=147104 refBig_us=88944 period_us=136256 rpm=440 resid_us=11184 edgeToSpark_us=119216
seq=97 ev=SKIP      val_us=40464 refBig_us=87568
seq=98 ev=SKIP      val_us=8896 refBig_us=86208
seq=99 ev=FIRED     val_us=145408 refBig_us=86256 period_us=136528 rpm=439 resid_us=9152 edgeToSpark_us=119456
seq=100 ev=SKIP      val_us=4944 refBig_us=84912
seq=101 ev=SKIP      val_us=39424 refBig_us=83600
seq=102 ev=SKIP      val_us=7696 refBig_us=82304
seq=103 ev=FIRED     val_us=148512 refBig_us=88432 period_us=136896 rpm=438 resid_us=11984 edgeToSpark_us=119776
seq=104 ev=SKIP      val_us=41152 refBig_us=87056
seq=105 ev=SKIP      val_us=7936 refBig_us=85696
seq=106 ev=FIRED     val_us=147984 refBig_us=88400 period_us=137232 rpm=437 resid_us=11088 edgeToSpark_us=120064
seq=107 ev=SKIP      val_us=40032 refBig_us=87024
seq=108 ev=SKIP      val_us=8192 refBig_us=85680
seq=109 ev=FIRED     val_us=143376 refBig_us=84352 period_us=137424 rpm=436 resid_us=6144 edgeToSpark_us=120240
seq=110 ev=SKIP      val_us=4272 refBig_us=83040
seq=111 ev=SKIP      val_us=38064 refBig_us=81744
seq=112 ev=SKIP      val_us=8432 refBig_us=80480
seq=113 ev=FIRED     val_us=184384 refBig_us=100592 period_us=138880 rpm=432 resid_us=46960 edgeToSpark_us=121520
seq=114 ev=SKIP      val_us=8320 refBig_us=99024
seq=115 ev=FIRED     val_us=137376 refBig_us=97488 period_us=138832 rpm=432 resid_us=-1504 edgeToSpark_us=121472
seq=116 ev=SKIP      val_us=41264 refBig_us=95968
seq=117 ev=SKIP      val_us=7744 refBig_us=94480
seq=118 ev=FIRED     val_us=136288 refBig_us=93008 period_us=138752 rpm=432 resid_us=-2544 edgeToSpark_us=121408
seq=119 ev=SKIP      val_us=40496 refBig_us=91568
seq=120 ev=SKIP      val_us=8064 refBig_us=90144
seq=121 ev=FIRED     val_us=133088 refBig_us=88736 period_us=138560 rpm=433 resid_us=-5664 edgeToSpark_us=121232
seq=122 ev=SKIP      val_us=42880 refBig_us=87360
seq=123 ev=SKIP      val_us=7344 refBig_us=86000
seq=124 ev=FIRED     val_us=129616 refBig_us=84672 period_us=138272 rpm=433 resid_us=-8944 edgeToSpark_us=120976
seq=125 ev=SKIP      val_us=45344 refBig_us=83360
seq=126 ev=SKIP      val_us=8224 refBig_us=82064
seq=127 ev=FIRED     val_us=134736 refBig_us=88992 period_us=138160 rpm=434 resid_us=-3536 edgeToSpark_us=120880
seq=128 ev=SKIP      val_us=39728 refBig_us=87616
seq=129 ev=SKIP      val_us=8208 refBig_us=86256
seq=130 ev=FIRED     val_us=132240 refBig_us=87392 period_us=137968 rpm=434 resid_us=-5920 edgeToSpark_us=120720
seq=131 ev=SKIP      val_us=41024 refBig_us=86032
seq=132 ev=SKIP      val_us=8384 refBig_us=84688
seq=133 ev=FIRED     val_us=171968 refBig_us=105856 period_us=139024 rpm=431 resid_us=34000 edgeToSpark_us=121632
seq=134 ev=SKIP      val_us=9024 refBig_us=104208
seq=135 ev=FIRED     val_us=125632 refBig_us=102592 period_us=138592 rpm=432 resid_us=-13392 edgeToSpark_us=121264
seq=136 ev=SKIP      val_us=40912 refBig_us=100992
seq=137 ev=SKIP      val_us=7840 refBig_us=99424
seq=138 ev=FIRED     val_us=165296 refBig_us=124272 period_us=139424 rpm=430 resid_us=26704 edgeToSpark_us=121984
seq=139 ev=SKIP      val_us=8160 refBig_us=122336
seq=140 ev=FIRED     val_us=118096 refBig_us=120432 period_us=138752 rpm=432 resid_us=-21328 edgeToSpark_us=121408
seq=141 ev=SKIP      val_us=3792 refBig_us=118560
seq=142 ev=SKIP      val_us=38640 refBig_us=116720
seq=143 ev=SKIP      val_us=8224 refBig_us=114912
seq=144 ev=FIRED     val_us=117712 refBig_us=113120 period_us=138080 rpm=434 resid_us=-21040 edgeToSpark_us=120816
seq=145 ev=SKIP      val_us=42416 refBig_us=111360
seq=146 ev=SKIP      val_us=8304 refBig_us=109632
seq=147 ev=FIRED     val_us=118976 refBig_us=107920 period_us=137472 rpm=436 resid_us=-19104 edgeToSpark_us=120288
seq=148 ev=SKIP      val_us=39584 refBig_us=106240
seq=149 ev=SKIP      val_us=10896 refBig_us=104592
seq=150 ev=FIRED     val_us=120800 refBig_us=102960 period_us=136944 rpm=438 resid_us=-16672 edgeToSpark_us=119824
seq=151 ev=SKIP      val_us=42288 refBig_us=101360
seq=152 ev=SKIP      val_us=7776 refBig_us=99792
WATCHDOG: MAX_DWELL exceeded, forced coil LOW
seq=153 ev=FIRED     val_us=123104 refBig_us=98240 period_us=136496 rpm=439 resid_us=-13840 edgeToSpark_us=119424
seq=154 ev=SKIP      val_us=42160 refBig_us=96720
seq=155 ev=SKIP      val_us=8096 refBig_us=95216
seq=156 ev=FIRED     val_us=129456 refBig_us=93744 period_us=136272 rpm=440 resid_us=-7040 edgeToSpark_us=119232
seq=157 ev=SKIP      val_us=40080 refBig_us=92288
seq=158 ev=SKIP      val_us=8224 refBig_us=90848
seq=159 ev=FIRED     val_us=131824 refBig_us=89440 period_us=136128 rpm=440 resid_us=-4448 edgeToSpark_us=119104
seq=160 ev=SKIP      val_us=40512 refBig_us=88048
seq=161 ev=SKIP      val_us=9120 refBig_us=86688
seq=162 ev=FIRED     val_us=135744 refBig_us=90000 period_us=136112 rpm=440 resid_us=-384 edgeToSpark_us=119088
seq=163 ev=SKIP      val_us=40656 refBig_us=88608
seq=164 ev=SKIP      val_us=8096 refBig_us=87232
seq=165 ev=FIRED     val_us=138656 refBig_us=90240 period_us=136176 rpm=440 resid_us=2544 edgeToSpark_us=119152
seq=166 ev=SKIP      val_us=41104 refBig_us=88832
seq=167 ev=SKIP      val_us=9056 refBig_us=87456
seq=168 ev=FIRED     val_us=142000 refBig_us=89600 period_us=136352 rpm=440 resid_us=5824 edgeToSpark_us=119296
seq=169 ev=SKIP      val_us=41184 refBig_us=88208
seq=170 ev=SKIP      val_us=7968 refBig_us=86832
seq=171 ev=FIRED     val_us=141840 refBig_us=87584 period_us=136512 rpm=439 resid_us=5488 edgeToSpark_us=119440
seq=172 ev=SKIP      val_us=43312 refBig_us=86224
seq=173 ev=SKIP      val_us=8384 refBig_us=84880
seq=174 ev=FIRED     val_us=142912 refBig_us=86400 period_us=136704 rpm=438 resid_us=6400 edgeToSpark_us=119616
seq=175 ev=SKIP      val_us=3168 refBig_us=85056
seq=176 ev=SKIP      val_us=40848 refBig_us=83728
seq=177 ev=SKIP      val_us=8000 refBig_us=82432
seq=178 ev=FIRED     val_us=145072 refBig_us=87456 period_us=136960 rpm=438 resid_us=8368 edgeToSpark_us=119840
seq=179 ev=SKIP      val_us=43280 refBig_us=86096
seq=180 ev=SKIP      val_us=8224 refBig_us=84752
seq=181 ev=FIRED     val_us=145600 refBig_us=86768 period_us=137216 rpm=437 resid_us=8640 edgeToSpark_us=120064
seq=182 ev=SKIP      val_us=43280 refBig_us=85424
seq=183 ev=SKIP      val_us=9040 refBig_us=84096
seq=184 ev=FIRED     val_us=147536 refBig_us=87648 period_us=137536 rpm=436 resid_us=10320 edgeToSpark_us=120336
seq=185 ev=SKIP      val_us=42416 refBig_us=86288
