[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM11] cyl=1 seq=22 ev=SKIP      val_us=34528 refBig_us=65760
[COM11] cyl=1 seq=23 ev=SKIP      val_us=22384 refBig_us=64736
[COM12] cyl=2 seq=29 ev=SYNCFIRST val_us=158928 refBig_us=84896
[COM11] cyl=1 seq=24 ev=SKIP      val_us=11424 refBig_us=63728
[COM13] cyl=3 seq=23 ev=FIRED     val_us=167792 refBig_us=92992 period_us=156432 rpm=383 resid_us=11712 edgeToSpark_us=142144
[COM13] cyl=3 seq=24 ev=SKIP      val_us=10464 refBig_us=91552
[COM12] cyl=2 seq=30 ev=SKIP      val_us=64016 refBig_us=83584
[COM11] cyl=1 seq=25 ev=SYNCCAND  val_us=159072 refBig_us=79648
[COM13] cyl=3 seq=25 ev=SKIP      val_us=46240 refBig_us=90128
[COM13] cyl=3 seq=26 ev=SKIP      val_us=10000 refBig_us=88720
[COM11] cyl=1 seq=26 ev=SKIP      val_us=52784 refBig_us=78416
[COM12] cyl=2 seq=31 ev=FIRED     val_us=154784 refBig_us=90768 period_us=158784 rpm=377 resid_us=-4144 edgeToSpark_us=143344
[COM11] cyl=1 seq=27 ev=SKIP      val_us=14656 refBig_us=77200
[COM13] cyl=3 seq=27 ev=FIRED     val_us=165552 refBig_us=87344 period_us=156704 rpm=382 resid_us=9120 edgeToSpark_us=141456
[COM13] cyl=3 seq=28 ev=SKIP      val_us=4752 refBig_us=85984
[COM13] cyl=3 seq=29 ev=SKIP      val_us=8832 refBig_us=84656
[COM12] cyl=2 seq=32 ev=SKIP      val_us=66128 refBig_us=89360
[COM11] cyl=1 seq=28 ev=SYNCFIRST val_us=159200 refBig_us=91760
[COM13] cyl=3 seq=30 ev=SKIP      val_us=57920 refBig_us=83344
[COM11] cyl=1 seq=29 ev=SKIP      val_us=34384 refBig_us=90336
[COM11] cyl=1 seq=30 ev=SKIP      val_us=22384 refBig_us=88928
[COM12] cyl=2 seq=33 ev=FIRED     val_us=160368 refBig_us=97856 period_us=158832 rpm=377 resid_us=1584 edgeToSpark_us=143376
[COM11] cyl=1 seq=31 ev=SKIP      val_us=10848 refBig_us=87552
[COM12] cyl=2 seq=34 ev=SKIP      val_us=33600 refBig_us=96336
[COM13] cyl=3 seq=31 ev=FIRED     val_us=166720 refBig_us=87232 period_us=157008 rpm=382 resid_us=10016 edgeToSpark_us=141728
[COM13] cyl=3 seq=32 ev=SKIP      val_us=4944 refBig_us=85872
[COM13] cyl=3 seq=33 ev=SKIP      val_us=10000 refBig_us=84544
[COM12] cyl=2 seq=35 ev=SKIP      val_us=28832 refBig_us=94832
[COM11] cyl=1 seq=32 ev=FIRED     val_us=158288 refBig_us=90672 period_us=159168 rpm=376 resid_us=-912 edgeToSpark_us=143680
[COM13] cyl=3 seq=34 ev=SKIP      val_us=45888 refBig_us=83232
[COM13] cyl=3 seq=35 ev=SKIP      val_us=13024 refBig_us=81936
[COM11] cyl=1 seq=33 ev=SKIP      val_us=34832 refBig_us=89264
[COM11] cyl=1 seq=34 ev=SKIP      val_us=23744 refBig_us=87872
[COM12] cyl=2 seq=36 ev=FIRED     val_us=161952 refBig_us=98128 period_us=158928 rpm=377 resid_us=3120 edgeToSpark_us=143472
[COM11] cyl=1 seq=35 ev=SKIP      val_us=10448 refBig_us=86512
[COM13] cyl=3 seq=36 ev=FIRED     val_us=173184 refBig_us=90560 period_us=157504 rpm=380 resid_us=16176 edgeToSpark_us=146720
[COM12] cyl=2 seq=37 ev=SKIP      val_us=63200 refBig_us=96608
[COM11] cyl=1 seq=36 ev=FIRED     val_us=158736 refBig_us=90496 period_us=159152 rpm=376 resid_us=-432 edgeToSpark_us=143664
[COM13] cyl=3 seq=37 ev=SKIP      val_us=56400 refBig_us=89152
[COM13] cyl=3 seq=38 ev=SKIP      val_us=9968 refBig_us=87760
[COM11] cyl=1 seq=37 ev=SKIP      val_us=35488 refBig_us=89088
[COM11] cyl=1 seq=38 ev=SKIP      val_us=23168 refBig_us=87696
[COM12] cyl=2 seq=38 ev=FIRED     val_us=159072 refBig_us=95104 period_us=158928 rpm=377 resid_us=144 edgeToSpark_us=143472
[COM11] cyl=1 seq=39 ev=SKIP      val_us=11648 refBig_us=86336
[COM13] cyl=3 seq=39 ev=FIRED     val_us=174672 refBig_us=94144 period_us=158032 rpm=379 resid_us=17168 edgeToSpark_us=147984
[COM12] cyl=2 seq=39 ev=SKIP      val_us=63040 refBig_us=93632
[COM13] cyl=3 seq=40 ev=SKIP      val_us=55408 refBig_us=92688
[COM11] cyl=1 seq=40 ev=FIRED     val_us=160560 refBig_us=90624 period_us=159184 rpm=376 resid_us=1408 edgeToSpark_us=143696
[COM13] cyl=3 seq=41 ev=SKIP      val_us=11088 refBig_us=91248
[COM11] cyl=1 seq=41 ev=SKIP      val_us=34432 refBig_us=89216
[COM11] cyl=1 seq=42 ev=SKIP      val_us=21376 refBig_us=87824
[COM12] cyl=2 seq=40 ev=FIRED     val_us=161744 refBig_us=98576 period_us=159008 rpm=377 resid_us=2816 edgeToSpark_us=143536
[COM11] cyl=1 seq=43 ev=SKIP      val_us=14000 refBig_us=86464
[COM12] cyl=2 seq=41 ev=SKIP      val_us=38304 refBig_us=97040
[COM13] cyl=3 seq=42 ev=FIRED     val_us=176544 refBig_us=95024 period_us=158608 rpm=378 resid_us=18512 edgeToSpark_us=149568
[COM13] cyl=3 seq=43 ev=SKIP      val_us=7168 refBig_us=93552
[COM12] cyl=2 seq=42 ev=SKIP      val_us=27184 refBig_us=95536
[COM13] cyl=3 seq=44 ev=SKIP      val_us=22560 refBig_us=92096
[COM13] cyl=3 seq=45 ev=SKIP      val_us=24672 refBig_us=90672
[COM13] cyl=3 seq=46 ev=SKIP      val_us=9856 refBig_us=89264
[COM11] cyl=1 seq=44 ev=FIRED     val_us=196112 refBig_us=108080 period_us=160336 rpm=374 resid_us=36928 edgeToSpark_us=166144
[COM11] cyl=1 seq=45 ev=SKIP      val_us=22608 refBig_us=106400
[COM12] cyl=2 seq=43 ev=FIRED     val_us=158704 refBig_us=94048 period_us=158992 rpm=377 resid_us=-304 edgeToSpark_us=143520
[COM12] cyl=2 seq=44 ev=SKIP      val_us=5568 refBig_us=92592
[COM11] cyl=1 seq=46 ev=SKIP      val_us=10928 refBig_us=104752
[COM12] cyl=2 seq=45 ev=SKIP      val_us=34144 refBig_us=91152
[COM12] cyl=2 seq=46 ev=SKIP      val_us=3872 refBig_us=89728
[COM13] cyl=3 seq=47 ev=FIRED     val_us=170848 refBig_us=90384 period_us=158976 rpm=377 resid_us=12240 edgeToSpark_us=144736
[COM12] cyl=2 seq=47 ev=SKIP      val_us=14752 refBig_us=88336
[COM12] cyl=2 seq=48 ev=SKIP      val_us=10752 refBig_us=86960
[COM11] cyl=1 seq=47 ev=FIRED     val_us=161024 refBig_us=103120 period_us=160352 rpm=374 resid_us=688 edgeToSpark_us=144752
[COM13] cyl=3 seq=48 ev=SKIP      val_us=63776 refBig_us=88976
[COM13] cyl=3 seq=49 ev=SKIP      val_us=11200 refBig_us=87600
