#Firmware: Speeduino 2025.01.6
ToothTime,Time
uS,uS
53948.0,3.38615296E9
53948.0,3.38620698E9
53948.0,3.38626099E9
53948.0,3.38631501E9
53928.0,3.38636902E9
53948.0,3.38642304E9
53948.0,3.38647706E9
53948.0,3.38653107E9
53948.0,3.38658509E9
53936.0,3.3866391E9
53944.0,3.38669312E9
53948.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
0.0,3.38674714E9
MARK 000
